"metric","value"
"cells",15296
"orig_ident_levels",56
"sample_id_present",1
"sample_id_missing_cells",3641
"sample_id_missing_fraction",0.238036087866109
"orig_ident_with_multiple_nonmissing_sample_id",0
"sample_id_with_multiple_orig_ident",0
