"resolution","cluster","n_cells","fraction"
0.2,"0",5727,0.336111274135806
0.2,"1",3593,0.21086918246376
0.2,"2",2397,0.140677269792828
0.2,"3",1662,0.0975409355009097
0.2,"4",1255,0.0736545571923235
0.2,"5",889,0.0521744233816539
0.2,"6",572,0.0335700451904455
0.2,"7",452,0.0265273783672751
0.2,"8",272,0.0159633781325195
0.2,"9",220,0.012911555842479
0.4,"0",5300,0.311051118023358
0.4,"1",2134,0.125242091672046
0.4,"2",1664,0.0976583132812958
0.4,"3",1593,0.0934914020775867
0.4,"4",1479,0.0868008685955749
0.4,"5",1253,0.0735371794119373
0.4,"6",1097,0.0643817125418158
0.4,"7",890,0.0522331122718469
0.4,"8",572,0.0335700451904455
0.4,"9",452,0.0265273783672751
0.4,"10",280,0.0164328892540642
0.4,"11",220,0.012911555842479
0.4,"12",105,0.00616233347027408
0.6,"0",3843,0.225541405012031
0.6,"1",2075,0.121779447150654
0.6,"2",1872,0.109865602441458
0.6,"3",1505,0.0883267797405951
0.6,"4",1231,0.0722460238276894
0.6,"5",1213,0.0711896238042139
0.6,"6",1090,0.0639708903104642
0.6,"7",890,0.0522331122718469
0.6,"8",858,0.0503550677856682
0.6,"9",572,0.0335700451904455
0.6,"10",452,0.0265273783672751
0.6,"11",433,0.0254122894536064
0.6,"12",279,0.0163742003638711
0.6,"13",224,0.0131463114032514
0.6,"14",156,0.00915546687012149
0.6,"15",135,0.00792300017606667
0.6,"16",106,0.00622102236046716
0.6,"17",105,0.00616233347027408
0.8,"0",1862,0.109278713539527
0.8,"1",1836,0.107752802394507
0.8,"2",1543,0.0905569575679324
0.8,"3",1489,0.0873877574975057
0.8,"4",1440,0.0845120018780445
0.8,"5",1231,0.0722460238276894
0.8,"6",1180,0.069252890427842
0.8,"7",1149,0.0674335348318563
0.8,"8",1090,0.0639708903104642
0.8,"9",890,0.0522331122718469
0.8,"10",846,0.0496508011033511
0.8,"11",572,0.0335700451904455
0.8,"12",452,0.0265273783672751
0.8,"13",434,0.0254709783437995
0.8,"14",281,0.0164915781442573
0.8,"15",226,0.0132636891836375
0.8,"16",157,0.00921415576031457
0.8,"17",141,0.00827513351722519
0.8,"18",111,0.0065144668114326
0.8,"19",109,0.00639708903104642
