"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_clustering"
1,8.71600255332609,18.9497450901573,18.9497450901573,TRUE
2,6.37458207645084,10.1361285371998,29.0858736273571,TRUE
3,4.94863276306813,6.10856397895393,35.194437606311,TRUE
4,4.79509894544921,5.73540143879567,40.9298390451067,TRUE
5,4.67579518413325,5.45355419477644,46.3833932398831,TRUE
6,4.10256654047698,4.19836257577828,50.5817558156614,TRUE
7,3.89071850022293,3.77596790939807,54.3577237250595,TRUE
8,3.61522877471206,3.26016998474078,57.6178937098003,TRUE
9,3.4872454194072,3.03342805897212,60.6513217687724,TRUE
10,3.19561990934091,2.54729305266944,63.1986148214418,TRUE
11,2.97110329683904,2.20193339022588,65.4005482116677,TRUE
12,2.90472626919396,2.10464619886038,67.5051944105281,TRUE
13,2.800870704245,1.95683765508031,69.4620320656084,TRUE
14,2.6178183691692,1.70941573112567,71.1714477967341,TRUE
15,2.49789675289961,1.55638716820622,72.7278349649403,TRUE
16,2.47091980284307,1.5229511551723,74.2507861201126,TRUE
17,2.41590669360174,1.45589142744302,75.7066775475556,TRUE
18,2.30677702501001,1.32733305294423,77.0340106004998,TRUE
19,2.13950334507862,1.14181202988988,78.1758226303897,TRUE
20,2.12428549290644,1.12562684279701,79.3014494731867,TRUE
21,2.02971977465602,1.02763962130633,80.3290890944931,TRUE
22,1.9869454296516,0.984783024945036,81.3138721194381,FALSE
23,1.96542281648468,0.963564212397163,82.2774363318353,FALSE
24,1.91178909875541,0.911693033870921,83.1891293657062,FALSE
25,1.892030570697,0.892945541630394,84.0820749073366,FALSE
26,1.87198962849361,0.874129045496179,84.9562039528328,FALSE
27,1.82836427508823,0.833861895263986,85.7900658480967,FALSE
28,1.76243285040249,0.774807530282163,86.5648733783789,FALSE
29,1.73237596380478,0.748605430884635,87.3134788092635,FALSE
30,1.72103298946759,0.738834326906587,88.0523131361701,FALSE
31,1.694477753527,0.716210061088387,88.7685231972585,FALSE
32,1.67893956689642,0.703135139934932,89.4716583371934,FALSE
33,1.6517738667756,0.680565384890198,90.1522237220836,FALSE
34,1.64138875656411,0.672034521996662,90.8242582440803,FALSE
35,1.61602329475459,0.651424229888796,91.4756824739691,FALSE
36,1.59807793239891,0.637036891529987,92.1127193654991,FALSE
37,1.58404522311809,0.625898379290375,92.7386177447895,FALSE
38,1.57384188254547,0.617861125954149,93.3564788707436,FALSE
39,1.57061298821803,0.615328518546581,93.9718073892902,FALSE
40,1.55222728912614,0.601006685894558,94.5728140751848,FALSE
41,1.52260872057889,0.578289491279779,95.1511035664645,FALSE
42,1.51285852196464,0.57090691933986,95.7220104858044,FALSE
43,1.49606976678405,0.558306093525919,96.2803165793303,FALSE
44,1.49031444686347,0.554018794003205,96.8343353733335,FALSE
45,1.48206953372844,0.54790571974808,97.3822410930816,FALSE
46,1.46909769448779,0.538356584333196,97.9205976774148,FALSE
47,1.4532562117773,0.526808835971183,98.447406513386,FALSE
48,1.44639752676905,0.521847990804957,98.9692545041909,FALSE
49,1.44493940384561,0.520796364318637,99.4900508685096,FALSE
50,1.42981250452232,0.509949131490437,100,FALSE
