"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",60,0.0104766893661603,0.0480075121779447,0.218230207958442,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",229,0.0637350403562483,0.0480075121779447,1.32760556556249,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",236,0.098456403838131,0.0480075121779447,2.05085411368938,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",0,0,0.0480075121779447,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",57,0.0454183266932271,0.0480075121779447,0.946067076437526,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",41,0.046119235095613,0.0480075121779447,0.9606670498706,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",137,0.23951048951049,0.0480075121779447,4.98902106451006,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","CNP0000460",43,0.0951327433628319,0.0480075121779447,1.98162202219962,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","CNP0000460",6,0.0220588235294118,0.0480075121779447,0.459486912124263,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","CNP0000460",9,0.0409090909090909,0.0480075121779447,0.852139364303178,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","GSE326225",30,0.00523834468308015,0.0225952227243383,0.231834168974033,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","GSE326225",98,0.027275257445032,0.0225952227243383,1.20712496521013,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","GSE326225",129,0.0538172715894869,0.0225952227243383,2.38179867691758,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","GSE326225",19,0.0114320096269555,0.0225952227243383,0.505948083204401,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","GSE326225",49,0.0390438247011952,0.0225952227243383,1.72796812749004,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","GSE326225",23,0.0258717660292463,0.0225952227243383,1.14501044512293,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","GSE326225",10,0.0174825174825175,0.0225952227243383,0.773726273726274,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","GSE326225",0,0,0.0225952227243383,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
