"object","resolution","object_clusters","marker_clusters","full_rows","top100_raw_rows","top100_friendly_rows","top100_noncycle_rows"
"Mural",0.4,11,11,17189,1100,1100,1100
"Mural",0.8,12,12,21149,1200,1200,1200
"Mural",1.2,16,16,25169,1600,1600,1600
