"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_round3"
1,9.50391691319386,21.0486528979838,21.0486528979838,TRUE
2,6.31400646207622,9.29028610405224,30.338939002036,TRUE
3,5.17059346883797,6.23016905327754,36.5691080553136,TRUE
4,4.89472703330297,5.583107618455,42.1522156737686,TRUE
5,4.49882502873318,4.71647188490383,46.8686875586724,TRUE
6,3.97397538681784,3.68018279419249,50.5488703528649,TRUE
7,3.70264551369886,3.19479734776066,53.7436677006255,TRUE
8,3.53620648372257,2.91403173355216,56.6576994341777,TRUE
9,3.24829062770089,2.4588316957457,59.1165311299234,TRUE
10,3.15623482876951,2.32144105391138,61.4379721838348,TRUE
11,3.0136240354402,2.11639724056039,63.5543694243952,TRUE
12,2.86186941930399,1.90861649418169,65.4629859185769,TRUE
13,2.77171681442414,1.79026267659815,67.253248595175,TRUE
14,2.70298743838923,1.70257832212087,68.9558269172959,TRUE
15,2.50222461031663,1.45905487880225,70.4148817960981,TRUE
16,2.42624759986523,1.37179521052484,71.786677006623,TRUE
17,2.36781184502078,1.3065120580594,73.0931890646824,TRUE
18,2.3414278799852,1.27755796897236,74.3707470336547,TRUE
19,2.2839621547446,1.21561724215368,75.5863642758084,TRUE
20,2.26498565778232,1.19550103754178,76.7818653133502,TRUE
21,2.22012350595527,1.14861190876979,77.93047722212,TRUE
22,2.18298616338186,1.11050625903054,79.0409834811505,TRUE
23,2.12835970788445,1.05562362694683,80.0966071080974,TRUE
24,2.06716891567744,0.995797373169966,81.0924044812673,FALSE
25,2.03899903981586,0.968842289311811,82.0612467705791,FALSE
26,2.00402734249202,0.93589328228619,82.9971400528653,FALSE
27,1.9981647208241,0.930425529886405,83.9275655827517,FALSE
28,1.95487572231474,0.890548037499235,84.818113620251,FALSE
29,1.92093585783724,0.859893709183865,85.6780073294348,FALSE
30,1.88387411526465,0.827032930447873,86.5050402598827,FALSE
31,1.86833665995547,0.813447100839121,87.3184873607218,FALSE
32,1.83668667225291,0.786120630595112,88.1046079913169,FALSE
33,1.82706949324781,0.77790968250257,88.8825176738195,FALSE
34,1.79179117173041,0.748158870702838,89.6306765445224,FALSE
35,1.77156637754418,0.731364545545901,90.3620410900683,FALSE
36,1.7292057211755,0.696806787115738,91.058847877184,FALSE
37,1.72152278570187,0.690628657406663,91.7494765345907,FALSE
38,1.71605760279825,0.686250648822339,92.435727183413,FALSE
39,1.70672712737841,0.678808430543883,93.1145356139569,FALSE
40,1.6860196425101,0.662436577298401,93.7769721912553,FALSE
41,1.67686726848431,0.655264167957695,94.432236359213,FALSE
42,1.66434086831287,0.645510929179628,95.0777472883926,FALSE
43,1.66086504957058,0.642817567293468,95.7205648556861,FALSE
44,1.64549401806634,0.630974285217549,96.3515391409036,FALSE
45,1.64127749087146,0.627744724424767,96.9792838653284,FALSE
46,1.62583419020606,0.615987003388994,97.5952708687174,FALSE
47,1.61741580236398,0.609624494521531,98.2048953632389,FALSE
48,1.61585732368203,0.608450239831965,98.8133456030709,FALSE
49,1.59898060635332,0.595806775004776,99.4091523780756,FALSE
50,1.59231220369477,0.590847621924347,100,FALSE
