"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"8","CNP0000460_P03T",0,0.4,"orig.ident",0
"9","CNP0000460_P03T",0,0.4,"orig.ident",0
"10","CNP0000460_P03T",0,0.4,"orig.ident",0
"0","CNP0000460_P04T",9,0.4,"orig.ident",0.00587084148727984
"1","CNP0000460_P04T",0,0.4,"orig.ident",0
"2","CNP0000460_P04T",3,0.4,"orig.ident",0.00395778364116095
"3","CNP0000460_P04T",0,0.4,"orig.ident",0
"4","CNP0000460_P04T",2,0.4,"orig.ident",0.00851063829787234
"5","CNP0000460_P04T",2,0.4,"orig.ident",0.00892857142857143
"6","CNP0000460_P04T",1,0.4,"orig.ident",0.00462962962962963
"7","CNP0000460_P04T",0,0.4,"orig.ident",0
"8","CNP0000460_P04T",0,0.4,"orig.ident",0
"9","CNP0000460_P04T",1,0.4,"orig.ident",0.0175438596491228
"10","CNP0000460_P04T",0,0.4,"orig.ident",0
"0","CNP0000460_P05T",42,0.4,"orig.ident",0.0273972602739726
"1","CNP0000460_P05T",0,0.4,"orig.ident",0
"2","CNP0000460_P05T",0,0.4,"orig.ident",0
"3","CNP0000460_P05T",0,0.4,"orig.ident",0
"4","CNP0000460_P05T",1,0.4,"orig.ident",0.00425531914893617
"5","CNP0000460_P05T",6,0.4,"orig.ident",0.0267857142857143
"6","CNP0000460_P05T",4,0.4,"orig.ident",0.0185185185185185
"7","CNP0000460_P05T",1,0.4,"orig.ident",0.0053475935828877
"8","CNP0000460_P05T",0,0.4,"orig.ident",0
"9","CNP0000460_P05T",3,0.4,"orig.ident",0.0526315789473684
"10","CNP0000460_P05T",0,0.4,"orig.ident",0
"0","CNP0000460_P06T",26,0.4,"orig.ident",0.0169602087410307
"1","CNP0000460_P06T",0,0.4,"orig.ident",0
"2","CNP0000460_P06T",1,0.4,"orig.ident",0.00131926121372032
"3","CNP0000460_P06T",0,0.4,"orig.ident",0
"4","CNP0000460_P06T",3,0.4,"orig.ident",0.0127659574468085
"5","CNP0000460_P06T",4,0.4,"orig.ident",0.0178571428571429
"6","CNP0000460_P06T",2,0.4,"orig.ident",0.00925925925925926
"7","CNP0000460_P06T",0,0.4,"orig.ident",0
"8","CNP0000460_P06T",0,0.4,"orig.ident",0
"9","CNP0000460_P06T",1,0.4,"orig.ident",0.0175438596491228
"10","CNP0000460_P06T",0,0.4,"orig.ident",0
"0","CNP0000460_P07T",97,0.4,"orig.ident",0.0632746249184605
"1","CNP0000460_P07T",1,0.4,"orig.ident",0.000721500721500722
"2","CNP0000460_P07T",3,0.4,"orig.ident",0.00395778364116095
"3","CNP0000460_P07T",0,0.4,"orig.ident",0
"4","CNP0000460_P07T",12,0.4,"orig.ident",0.051063829787234
"5","CNP0000460_P07T",17,0.4,"orig.ident",0.0758928571428571
"6","CNP0000460_P07T",7,0.4,"orig.ident",0.0324074074074074
"7","CNP0000460_P07T",3,0.4,"orig.ident",0.0160427807486631
"8","CNP0000460_P07T",1,0.4,"orig.ident",0.0108695652173913
"9","CNP0000460_P07T",8,0.4,"orig.ident",0.140350877192982
"10","CNP0000460_P07T",0,0.4,"orig.ident",0
"0","GSE326225_BC1",31,0.4,"orig.ident",0.020221787345075
"1","GSE326225_BC1",0,0.4,"orig.ident",0
"2","GSE326225_BC1",0,0.4,"orig.ident",0
"3","GSE326225_BC1",0,0.4,"orig.ident",0
"4","GSE326225_BC1",2,0.4,"orig.ident",0.00851063829787234
"5","GSE326225_BC1",5,0.4,"orig.ident",0.0223214285714286
"6","GSE326225_BC1",0,0.4,"orig.ident",0
"7","GSE326225_BC1",0,0.4,"orig.ident",0
"8","GSE326225_BC1",0,0.4,"orig.ident",0
"9","GSE326225_BC1",2,0.4,"orig.ident",0.0350877192982456
"10","GSE326225_BC1",1,0.4,"orig.ident",0.0434782608695652
"0","GSE326225_BC2",8,0.4,"orig.ident",0.00521852576647097
"1","GSE326225_BC2",0,0.4,"orig.ident",0
"2","GSE326225_BC2",0,0.4,"orig.ident",0
"3","GSE326225_BC2",0,0.4,"orig.ident",0
"4","GSE326225_BC2",1,0.4,"orig.ident",0.00425531914893617
"5","GSE326225_BC2",4,0.4,"orig.ident",0.0178571428571429
"6","GSE326225_BC2",0,0.4,"orig.ident",0
"7","GSE326225_BC2",0,0.4,"orig.ident",0
"8","GSE326225_BC2",0,0.4,"orig.ident",0
"9","GSE326225_BC2",1,0.4,"orig.ident",0.0175438596491228
"10","GSE326225_BC2",0,0.4,"orig.ident",0
"0","GSE326225_BC3",24,0.4,"orig.ident",0.0156555772994129
"1","GSE326225_BC3",0,0.4,"orig.ident",0
"2","GSE326225_BC3",0,0.4,"orig.ident",0
"3","GSE326225_BC3",0,0.4,"orig.ident",0
"4","GSE326225_BC3",0,0.4,"orig.ident",0
"5","GSE326225_BC3",2,0.4,"orig.ident",0.00892857142857143
"6","GSE326225_BC3",0,0.4,"orig.ident",0
"7","GSE326225_BC3",0,0.4,"orig.ident",0
"8","GSE326225_BC3",0,0.4,"orig.ident",0
"9","GSE326225_BC3",1,0.4,"orig.ident",0.0175438596491228
"10","GSE326225_BC3",0,0.4,"orig.ident",0
"0","GSE326225_BC4",4,0.4,"orig.ident",0.00260926288323549
"1","GSE326225_BC4",0,0.4,"orig.ident",0
"2","GSE326225_BC4",0,0.4,"orig.ident",0
"3","GSE326225_BC4",0,0.4,"orig.ident",0
"4","GSE326225_BC4",0,0.4,"orig.ident",0
"5","GSE326225_BC4",0,0.4,"orig.ident",0
"6","GSE326225_BC4",0,0.4,"orig.ident",0
"7","GSE326225_BC4",0,0.4,"orig.ident",0
"8","GSE326225_BC4",0,0.4,"orig.ident",0
"9","GSE326225_BC4",0,0.4,"orig.ident",0
"10","GSE326225_BC4",0,0.4,"orig.ident",0
"0","GSE326225_BC5",8,0.4,"orig.ident",0.00521852576647097
"1","GSE326225_BC5",0,0.4,"orig.ident",0
"2","GSE326225_BC5",0,0.4,"orig.ident",0
"3","GSE326225_BC5",0,0.4,"orig.ident",0
"4","GSE326225_BC5",2,0.4,"orig.ident",0.00851063829787234
"5","GSE326225_BC5",0,0.4,"orig.ident",0
"6","GSE326225_BC5",0,0.4,"orig.ident",0
"7","GSE326225_BC5",0,0.4,"orig.ident",0
"8","GSE326225_BC5",0,0.4,"orig.ident",0
"9","GSE326225_BC5",0,0.4,"orig.ident",0
"10","GSE326225_BC5",0,0.4,"orig.ident",0
"0","GSE326225_BC6",8,0.4,"orig.ident",0.00521852576647097
"1","GSE326225_BC6",0,0.4,"orig.ident",0
"2","GSE326225_BC6",1,0.4,"orig.ident",0.00131926121372032
"3","GSE326225_BC6",0,0.4,"orig.ident",0
"4","GSE326225_BC6",3,0.4,"orig.ident",0.0127659574468085
"5","GSE326225_BC6",2,0.4,"orig.ident",0.00892857142857143
"6","GSE326225_BC6",0,0.4,"orig.ident",0
"7","GSE326225_BC6",0,0.4,"orig.ident",0
"8","GSE326225_BC6",0,0.4,"orig.ident",0
"9","GSE326225_BC6",0,0.4,"orig.ident",0
"10","GSE326225_BC6",0,0.4,"orig.ident",0
"0","GSE326225_BC7",36,0.4,"orig.ident",0.0234833659491194
"1","GSE326225_BC7",11,0.4,"orig.ident",0.00793650793650794
