"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11"
"0",1046,0,0,0,413,0,69,0,5,0,0,0
"1",0,807,1,576,0,0,2,0,0,0,0,0
"2",0,107,624,26,0,0,0,0,0,1,0,0
"3",0,0,0,0,0,434,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,235,0,0,0,0
"5",0,0,0,0,0,0,0,0,224,0,0,0
"6",0,0,0,0,0,0,216,0,0,0,0,0
"7",0,0,0,3,0,0,0,0,0,184,0,0
"8",0,0,0,0,0,0,0,0,0,0,92,0
"9",0,0,0,0,57,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,23
