"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"5","CNP0000460_P02N",0,0.4,"orig.ident",0
"6","CNP0000460_P02N",10,0.4,"orig.ident",0.00717875089734386
"7","CNP0000460_P02N",8,0.4,"orig.ident",0.00806451612903226
"8","CNP0000460_P02N",1,0.4,"orig.ident",0.00106157112526539
"9","CNP0000460_P02N",2,0.4,"orig.ident",0.00237812128418549
"10","CNP0000460_P02N",4,0.4,"orig.ident",0.00529100529100529
"11","CNP0000460_P02N",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P02N",24,0.4,"orig.ident",0.0533333333333333
"13","CNP0000460_P02N",1,0.4,"orig.ident",0.00671140939597315
"0","CNP0000460_P02T",178,0.4,"orig.ident",0.0185513288170922
"1","CNP0000460_P02T",100,0.4,"orig.ident",0.0108061378863194
"2","CNP0000460_P02T",8,0.4,"orig.ident",0.00247066090179123
"3","CNP0000460_P02T",73,0.4,"orig.ident",0.0229559748427673
"4","CNP0000460_P02T",4,0.4,"orig.ident",0.00161420500403551
"5","CNP0000460_P02T",0,0.4,"orig.ident",0
"6","CNP0000460_P02T",34,0.4,"orig.ident",0.0244077530509691
"7","CNP0000460_P02T",78,0.4,"orig.ident",0.0786290322580645
"8","CNP0000460_P02T",7,0.4,"orig.ident",0.00743099787685775
"9","CNP0000460_P02T",14,0.4,"orig.ident",0.0166468489892985
"10","CNP0000460_P02T",17,0.4,"orig.ident",0.0224867724867725
"11","CNP0000460_P02T",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P02T",10,0.4,"orig.ident",0.0222222222222222
"13","CNP0000460_P02T",3,0.4,"orig.ident",0.0201342281879195
"0","CNP0000460_P03N",300,0.4,"orig.ident",0.0312662845231892
"1","CNP0000460_P03N",136,0.4,"orig.ident",0.0146963475253944
"2","CNP0000460_P03N",32,0.4,"orig.ident",0.00988264360716492
"3","CNP0000460_P03N",137,0.4,"orig.ident",0.0430817610062893
"4","CNP0000460_P03N",0,0.4,"orig.ident",0
"5","CNP0000460_P03N",0,0.4,"orig.ident",0
"6","CNP0000460_P03N",56,0.4,"orig.ident",0.0402010050251256
"7","CNP0000460_P03N",12,0.4,"orig.ident",0.0120967741935484
"8","CNP0000460_P03N",10,0.4,"orig.ident",0.0106157112526539
"9","CNP0000460_P03N",10,0.4,"orig.ident",0.0118906064209275
"10","CNP0000460_P03N",10,0.4,"orig.ident",0.0132275132275132
"11","CNP0000460_P03N",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P03N",14,0.4,"orig.ident",0.0311111111111111
"13","CNP0000460_P03N",1,0.4,"orig.ident",0.00671140939597315
"0","CNP0000460_P03T",376,0.4,"orig.ident",0.0391870766023971
"1","CNP0000460_P03T",301,0.4,"orig.ident",0.0325264750378215
"2","CNP0000460_P03T",46,0.4,"orig.ident",0.0142063001852996
"3","CNP0000460_P03T",271,0.4,"orig.ident",0.0852201257861635
"4","CNP0000460_P03T",1,0.4,"orig.ident",0.000403551251008878
"5","CNP0000460_P03T",0,0.4,"orig.ident",0
"6","CNP0000460_P03T",92,0.4,"orig.ident",0.0660445082555635
"7","CNP0000460_P03T",32,0.4,"orig.ident",0.032258064516129
"8","CNP0000460_P03T",15,0.4,"orig.ident",0.0159235668789809
"9","CNP0000460_P03T",58,0.4,"orig.ident",0.0689655172413793
"10","CNP0000460_P03T",16,0.4,"orig.ident",0.0211640211640212
"11","CNP0000460_P03T",3,0.4,"orig.ident",0.00576923076923077
"12","CNP0000460_P03T",5,0.4,"orig.ident",0.0111111111111111
"13","CNP0000460_P03T",0,0.4,"orig.ident",0
"0","CNP0000460_P04T",70,0.4,"orig.ident",0.00729546638874414
"1","CNP0000460_P04T",131,0.4,"orig.ident",0.0141560406310785
"2","CNP0000460_P04T",55,0.4,"orig.ident",0.0169857936998147
"3","CNP0000460_P04T",79,0.4,"orig.ident",0.0248427672955975
"4","CNP0000460_P04T",0,0.4,"orig.ident",0
"5","CNP0000460_P04T",0,0.4,"orig.ident",0
"6","CNP0000460_P04T",39,0.4,"orig.ident",0.0279971284996411
"7","CNP0000460_P04T",20,0.4,"orig.ident",0.0201612903225806
"8","CNP0000460_P04T",13,0.4,"orig.ident",0.0138004246284501
"9","CNP0000460_P04T",34,0.4,"orig.ident",0.0404280618311534
"10","CNP0000460_P04T",13,0.4,"orig.ident",0.0171957671957672
"11","CNP0000460_P04T",7,0.4,"orig.ident",0.0134615384615385
"12","CNP0000460_P04T",3,0.4,"orig.ident",0.00666666666666667
"13","CNP0000460_P04T",1,0.4,"orig.ident",0.00671140939597315
"0","CNP0000460_P05N",120,0.4,"orig.ident",0.0125065138092757
"1","CNP0000460_P05N",56,0.4,"orig.ident",0.00605143721633888
"2","CNP0000460_P05N",13,0.4,"orig.ident",0.00401482396541075
"3","CNP0000460_P05N",84,0.4,"orig.ident",0.0264150943396226
"4","CNP0000460_P05N",0,0.4,"orig.ident",0
"5","CNP0000460_P05N",0,0.4,"orig.ident",0
"6","CNP0000460_P05N",29,0.4,"orig.ident",0.0208183776022972
"7","CNP0000460_P05N",4,0.4,"orig.ident",0.00403225806451613
"8","CNP0000460_P05N",7,0.4,"orig.ident",0.00743099787685775
"9","CNP0000460_P05N",0,0.4,"orig.ident",0
"10","CNP0000460_P05N",5,0.4,"orig.ident",0.00661375661375661
"11","CNP0000460_P05N",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P05N",20,0.4,"orig.ident",0.0444444444444444
"13","CNP0000460_P05N",1,0.4,"orig.ident",0.00671140939597315
"0","CNP0000460_P05T",43,0.4,"orig.ident",0.00448150078165711
"1","CNP0000460_P05T",22,0.4,"orig.ident",0.00237735033499027
"2","CNP0000460_P05T",8,0.4,"orig.ident",0.00247066090179123
"3","CNP0000460_P05T",23,0.4,"orig.ident",0.00723270440251572
"4","CNP0000460_P05T",0,0.4,"orig.ident",0
"5","CNP0000460_P05T",0,0.4,"orig.ident",0
"6","CNP0000460_P05T",11,0.4,"orig.ident",0.00789662598707825
"7","CNP0000460_P05T",5,0.4,"orig.ident",0.00504032258064516
"8","CNP0000460_P05T",1,0.4,"orig.ident",0.00106157112526539
"9","CNP0000460_P05T",5,0.4,"orig.ident",0.00594530321046373
"10","CNP0000460_P05T",4,0.4,"orig.ident",0.00529100529100529
"11","CNP0000460_P05T",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P05T",3,0.4,"orig.ident",0.00666666666666667
"13","CNP0000460_P05T",0,0.4,"orig.ident",0
"0","CNP0000460_P06T",75,0.4,"orig.ident",0.00781657113079729
"1","CNP0000460_P06T",315,0.4,"orig.ident",0.0340393343419062
"2","CNP0000460_P06T",56,0.4,"orig.ident",0.0172946263125386
"3","CNP0000460_P06T",84,0.4,"orig.ident",0.0264150943396226
"4","CNP0000460_P06T",0,0.4,"orig.ident",0
"5","CNP0000460_P06T",0,0.4,"orig.ident",0
"6","CNP0000460_P06T",61,0.4,"orig.ident",0.0437903804737976
"7","CNP0000460_P06T",60,0.4,"orig.ident",0.0604838709677419
"8","CNP0000460_P06T",7,0.4,"orig.ident",0.00743099787685775
"9","CNP0000460_P06T",75,0.4,"orig.ident",0.089179548156956
"10","CNP0000460_P06T",29,0.4,"orig.ident",0.0383597883597884
"11","CNP0000460_P06T",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P06T",7,0.4,"orig.ident",0.0155555555555556
"13","CNP0000460_P06T",0,0.4,"orig.ident",0
"0","CNP0000460_P07N",530,0.4,"orig.ident",0.0552371026576342
"1","CNP0000460_P07N",106,0.4,"orig.ident",0.0114545061594986
"2","CNP0000460_P07N",29,0.4,"orig.ident",0.00895614576899321
"3","CNP0000460_P07N",90,0.4,"orig.ident",0.0283018867924528
"4","CNP0000460_P07N",1,0.4,"orig.ident",0.000403551251008878
"5","CNP0000460_P07N",0,0.4,"orig.ident",0
"6","CNP0000460_P07N",53,0.4,"orig.ident",0.0380473797559225
"7","CNP0000460_P07N",5,0.4,"orig.ident",0.00504032258064516
"8","CNP0000460_P07N",9,0.4,"orig.ident",0.00955414012738853
"9","CNP0000460_P07N",1,0.4,"orig.ident",0.00118906064209275
"10","CNP0000460_P07N",12,0.4,"orig.ident",0.0158730158730159
"11","CNP0000460_P07N",2,0.4,"orig.ident",0.00384615384615385
"12","CNP0000460_P07N",6,0.4,"orig.ident",0.0133333333333333
"13","CNP0000460_P07N",5,0.4,"orig.ident",0.0335570469798658
"0","CNP0000460_P07T",92,0.4,"orig.ident",0.00958832725377801
"1","CNP0000460_P07T",117,0.4,"orig.ident",0.0126431813269937
"2","CNP0000460_P07T",18,0.4,"orig.ident",0.00555898702903027
"3","CNP0000460_P07T",41,0.4,"orig.ident",0.0128930817610063
"4","CNP0000460_P07T",3,0.4,"orig.ident",0.00121065375302663
"5","CNP0000460_P07T",0,0.4,"orig.ident",0
"6","CNP0000460_P07T",21,0.4,"orig.ident",0.0150753768844221
"7","CNP0000460_P07T",8,0.4,"orig.ident",0.00806451612903226
"8","CNP0000460_P07T",5,0.4,"orig.ident",0.00530785562632696
"9","CNP0000460_P07T",8,0.4,"orig.ident",0.00951248513674197
"10","CNP0000460_P07T",5,0.4,"orig.ident",0.00661375661375661
"11","CNP0000460_P07T",1,0.4,"orig.ident",0.00192307692307692
"12","CNP0000460_P07T",9,0.4,"orig.ident",0.02
"13","CNP0000460_P07T",1,0.4,"orig.ident",0.00671140939597315
"0","GSE326225_BC1",2,0.4,"orig.ident",0.000208441896821261
"1","GSE326225_BC1",23,0.4,"orig.ident",0.00248541171385347
"2","GSE326225_BC1",1,0.4,"orig.ident",0.000308832612723904
"3","GSE326225_BC1",4,0.4,"orig.ident",0.00125786163522013
"4","GSE326225_BC1",2,0.4,"orig.ident",0.000807102502017756
"5","GSE326225_BC1",0,0.4,"orig.ident",0
"6","GSE326225_BC1",0,0.4,"orig.ident",0
"7","GSE326225_BC1",0,0.4,"orig.ident",0
"8","GSE326225_BC1",9,0.4,"orig.ident",0.00955414012738853
"9","GSE326225_BC1",10,0.4,"orig.ident",0.0118906064209275
"10","GSE326225_BC1",1,0.4,"orig.ident",0.00132275132275132
