"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",5054,0,1,3639,0,50,21,0,0,27,729,0,0,0,0,0,19,55
"1",0,4762,4428,3,2,2,0,1,25,10,0,0,5,0,16,0,0,0
"2",0,0,0,24,0,2440,0,0,5,471,295,0,0,0,2,0,0,1
"3",0,0,0,1,3158,0,0,4,3,1,10,0,0,1,0,0,2,0
"4",22,0,0,0,0,0,2455,0,0,1,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,2148,0,0,0,0,0,0,0,0,0,0
"6",0,3,0,1,0,0,0,0,1389,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0
"8",0,0,0,0,0,0,4,0,0,537,1,0,1,0,0,0,399,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
