"object","resolution","object_clusters","marker_clusters","full_rows","top100_raw_rows","top100_friendly_rows","top100_noncycle_rows"
"Myeloid",0.4,14,14,36112,1400,1400,1400
"Myeloid",0.8,18,18,44314,1800,1800,1800
"Myeloid",1.2,22,22,55210,2200,2200,2200
