"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_round3"
1,7.06481029326099,14.0452179243455,14.0452179243455,TRUE
2,5.79456586251765,9.44863951536034,23.4938574397058,TRUE
3,5.37840996523289,8.14020381402603,31.6340612537319,TRUE
4,4.58339672602442,5.91156369633827,37.5456249500701,TRUE
5,4.18863345673115,4.93710299938219,42.4827279494523,TRUE
6,3.77130348274358,4.00230735864336,46.4850353080957,TRUE
7,3.6406018223336,3.72969945694495,50.2147347650406,TRUE
8,3.47809671657204,3.40416640815635,53.618901173197,TRUE
9,3.24145008097129,2.95669242439213,56.5755935975891,TRUE
10,2.96468746432287,2.47334846255794,59.048942060147,TRUE
11,2.87528256354628,2.32642220493206,61.3753642650791,TRUE
12,2.77228852774977,2.16274007951216,63.5381043445913,TRUE
13,2.63785835500104,1.95807993054801,65.4961842751393,TRUE
14,2.6190352068277,1.93023482183595,67.4264190969752,TRUE
15,2.50370835433872,1.76398525265653,69.1904043496317,TRUE
16,2.44912962705079,1.68791672704133,70.8783210766731,TRUE
17,2.2900056009662,1.47570844338952,72.3540295200626,TRUE
18,2.23455083053184,1.40510231565636,73.759131835719,TRUE
19,2.22363490286278,1.3914078125116,75.1505396482305,TRUE
20,2.17114294805109,1.32649100612008,76.4770306543506,TRUE
21,2.06262588480127,1.19720466445565,77.6742353188063,TRUE
22,2.0343039651909,1.16455274725414,78.8387880660604,TRUE
23,1.98552677190733,1.10937651432409,79.9481645803845,TRUE
24,1.95960551972555,1.08059954716289,81.0287641275474,TRUE
25,1.91539746313287,1.0323935647797,82.0611576923271,FALSE
26,1.86146881595888,0.975077203990373,83.0362348963175,FALSE
27,1.84280817766894,0.955625510294998,83.9918604066125,FALSE
28,1.78629576845008,0.897912901928748,84.8897733085412,FALSE
29,1.74284131435646,0.854757983558168,85.7445312920994,FALSE
30,1.73742287279527,0.849451411335732,86.5939827034351,FALSE
31,1.70060907208337,0.813835173917481,87.4078178773526,FALSE
32,1.65734136278189,0.772950018059702,88.1807678954123,FALSE
33,1.64975111456167,0.765886357991173,88.9466542534035,FALSE
34,1.6291727661902,0.74689879083378,89.6935530442372,FALSE
35,1.61275025368321,0.731916791530247,90.4254698357675,FALSE
36,1.59317415268656,0.714256130794477,91.139725966562,FALSE
37,1.5778028614261,0.700540022078318,91.8402659886403,FALSE
38,1.56267848835157,0.687174033881589,92.5274400225219,FALSE
39,1.54617806921941,0.672738822985927,93.2001788455078,FALSE
40,1.53873791218799,0.666280006944229,93.866458852452,FALSE
41,1.5313155206051,0.659867656193067,94.5263265086451,FALSE
42,1.52774130201015,0.656790878437023,95.1831173870821,FALSE
43,1.51028876848455,0.641870562404476,95.8249879494866,FALSE
44,1.49524176004242,0.629144361315496,96.4541323108021,FALSE
45,1.47721298405468,0.614064096543243,97.0681964073453,FALSE
46,1.46866416002606,0.606977324202468,97.6751737315478,FALSE
47,1.45065694224888,0.592184334445903,98.2673580659937,FALSE
48,1.44436897152503,0.587061734512131,98.8544198005058,FALSE
49,1.42813145798923,0.573936499104137,99.42835629961,FALSE
50,1.42527600730938,0.571643700390021,100,FALSE
