"lineage","resolution","clusters","full_rows","top50_raw_rows","top50_friendly_rows","top50_noncycle_rows"
"Myeloid",0.2,12,33206,600,600,600
"Myeloid",0.4,14,36112,700,700,700
"Myeloid",0.6,17,43262,850,850,850
"Myeloid",0.8,18,44314,900,900,900
