"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"18","GSE326225",21,0.0466666666666667,0.034560443641225,1.35029130850048,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","GSE326225",11,0.0244988864142539,0.034560443641225,0.708870715566589,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"20","GSE326225",19,0.0570570570570571,0.034560443641225,1.65093531927343,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"21","GSE326225",28,0.1,0.034560443641225,2.89348137535817,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","HRA003620",1751,0.296880298406239,0.366969524422548,0.809005322372207,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","HRA003620",2679,0.504995287464656,0.366969524422548,1.37612323055791,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","HRA003620",2956,0.642608695652174,0.366969524422548,1.75112278509602,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","HRA003620",1223,0.384470292360893,0.366969524422548,1.04768997634308,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","HRA003620",583,0.237959183673469,0.366969524422548,0.648443992857212,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","HRA003620",1705,0.709234608985025,0.366969524422548,1.93267985972692,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","HRA003620",69,0.0350966429298067,0.366969524422548,0.0956391214911747,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","HRA003620",307,0.162176439513999,0.366969524422548,0.44193435345672,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","HRA003620",193,0.108244531688166,0.366969524422548,0.294968722153416,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","HRA003620",0,0,0.366969524422548,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","HRA003620",866,0.499711482977496,0.366969524422548,1.36172474748094,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","HRA003620",275,0.273088381330685,0.366969524422548,0.744171826694351,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","HRA003620",170,0.176531671858775,0.366969524422548,0.481052676340247,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","HRA003620",238,0.28099173553719,0.366969524422548,0.76570864019117,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","HRA003620",476,0.57280385078219,0.366969524422548,1.56090305232713,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","HRA003620",191,0.230676328502415,0.366969524422548,0.628598052836677,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","HRA003620",308,0.403669724770642,0.366969524422548,1.10000885061462,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","HRA003620",402,0.610942249240122,0.366969524422548,1.66483102432411,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","HRA003620",152,0.337777777777778,0.366969524422548,0.92045185035268,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","HRA003620",123,0.273942093541203,0.366969524422548,0.746498211185981,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"20","HRA003620",48,0.144144144144144,0.366969524422548,0.392795953208825,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"21","HRA003620",108,0.385714285714286,0.366969524422548,1.05107988550611,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","InhouseData",1713,0.290437436419125,0.286510038868121,1.01370771358142,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","InhouseData",1040,0.196041470311027,0.286510038868121,0.684239446148218,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","InhouseData",121,0.026304347826087,0.286510038868121,0.0918095154012901,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","InhouseData",539,0.169443571204024,0.286510038868121,0.591405354846983,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","InhouseData",972,0.396734693877551,0.286510038868121,1.38471480945268,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","InhouseData",236,0.0981697171381032,0.286510038868121,0.342639711773905,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","InhouseData",1721,0.875381485249237,0.286510038868121,3.05532570065432,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","InhouseData",931,0.491811938721606,0.286510038868121,1.71656092981784,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","InhouseData",416,0.23331463825014,0.286510038868121,0.814333205118631,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","InhouseData",1756,0.991530208921513,0.286510038868121,3.46071716313546,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","InhouseData",202,0.116560877091748,0.286510038868121,0.406829992946254,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","InhouseData",285,0.283018867924528,0.286510038868121,0.987814839028383,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","InhouseData",397,0.412253374870197,0.286510038868121,1.4388793373483,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","InhouseData",129,0.152302243211334,0.286510038868121,0.531577336043845,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","InhouseData",22,0.02647412755716,0.286510038868121,0.0924020940479016,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","InhouseData",416,0.502415458937198,0.286510038868121,1.75357017479048,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","InhouseData",124,0.162516382699869,0.286510038868121,0.567227533603716,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","InhouseData",76,0.115501519756839,0.286510038868121,0.403132540183012,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","InhouseData",127,0.282222222222222,0.286510038868121,0.985034323185192,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","InhouseData",124,0.276169265033408,0.286510038868121,0.963907813228587,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"20","InhouseData",142,0.426426426426426,0.286510038868121,1.48834724294847,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"21","InhouseData",84,0.3,0.286510038868121,1.04708372937009,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","PRJNA662018",1109,0.18802984062394,0.120317876859852,1.5627755868977,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","PRJNA662018",450,0.0848256361922714,0.120317876859852,0.705012741299264,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","PRJNA662018",377,0.0819565217391304,0.120317876859852,0.681166621935946,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","PRJNA662018",451,0.141779314680918,0.120317876859852,1.17837281026879,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","PRJNA662018",255,0.104081632653061,0.120317876859852,0.865055429579239,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","PRJNA662018",237,0.098585690515807,0.120317876859852,0.81937691296399,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","PRJNA662018",141,0.0717192268565615,0.120317876859852,0.59608122025043,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","PRJNA662018",276,0.145800316957211,0.120317876859852,1.21179263433181,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","PRJNA662018",177,0.0992708917554683,0.120317876859852,0.825071837588196,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","PRJNA662018",0,0,0.120317876859852,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","PRJNA662018",205,0.118291979226774,0.120317876859852,0.98316212282039,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","PRJNA662018",166,0.164846077457795,0.120317876859852,1.37008798492855,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","PRJNA662018",152,0.157840083073728,0.120317876859852,1.31185894559611,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","PRJNA662018",192,0.22668240850059,0.120317876859852,1.88402932645357,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","PRJNA662018",79,0.0950661853188929,0.120317876859852,0.79012519003828,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","PRJNA662018",99,0.119565217391304,0.120317876859852,0.993744408659868,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","PRJNA662018",181,0.237221494102228,0.120317876859852,1.97162300643442,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","PRJNA662018",84,0.127659574468085,0.120317876859852,1.06101917520357,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","PRJNA662018",47,0.104444444444444,0.120317876859852,0.868070873342478,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","PRJNA662018",87,0.193763919821826,0.120317876859852,1.61043333608293,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"20","PRJNA662018",75,0.225225225225225,0.120317876859852,1.87191821451081,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"21","PRJNA662018",20,0.0714285714285714,0.120317876859852,0.593665490887713,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
