"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"2","CNP0000460",713,0.6,"dataset",0.170942220091105,0.180264915405165,0.948283362333121,FALSE
"3","CNP0000460",894,0.6,"dataset",0.227480916030534,0.180264915405165,1.26192562495728,FALSE
"4","CNP0000460",1003,0.6,"dataset",0.315408805031447,0.180264915405165,1.74969602000773,FALSE
"5","CNP0000460",9,0.6,"dataset",0.00367797302819779,0.180264915405165,0.0204031551005427,FALSE
"6","CNP0000460",305,0.6,"dataset",0.126608551266086,0.180264915405165,0.702347159354438,FALSE
"7","CNP0000460",0,0.6,"dataset",0,0.180264915405165,0,FALSE
"8","CNP0000460",484,0.6,"dataset",0.343994314143568,0.180264915405165,1.90827102084953,FALSE
"9","CNP0000460",22,0.6,"dataset",0.0215897939156035,0.180264915405165,0.119767032132005,FALSE
"10","CNP0000460",245,0.6,"dataset",0.24822695035461,0.180264915405165,1.37701199258155,FALSE
"11","CNP0000460",227,0.6,"dataset",0.267373380447585,0.180264915405165,1.48322472981853,FALSE
"12","CNP0000460",133,0.6,"dataset",0.175925925925926,0.180264915405165,0.975929928075652,FALSE
"13","CNP0000460",25,0.6,"dataset",0.0420875420875421,0.180264915405165,0.233476059348242,FALSE
"14","CNP0000460",104,0.6,"dataset",0.231111111111111,0.180264915405165,1.28206373709307,FALSE
"15","CNP0000460",85,0.6,"dataset",0.20935960591133,0.180264915405165,1.16139962921111,FALSE
"16","CNP0000460",27,0.6,"dataset",0.131707317073171,0.180264915405165,0.730632007771143,FALSE
"0","GSE326225",42,0.6,"dataset",0.00701402805611222,0.0305543187889581,0.229559300750864,FALSE
"1","GSE326225",182,0.6,"dataset",0.0365022061772964,0.0305543187889581,1.19466601201031,FALSE
"2","GSE326225",282,0.6,"dataset",0.0676096859266363,0.0305543187889581,2.21277019440765,FALSE
"3","GSE326225",21,0.6,"dataset",0.00534351145038168,0.0305543187889581,0.174885635228521,FALSE
"4","GSE326225",82,0.6,"dataset",0.0257861635220126,0.0305543187889581,0.843944965689475,FALSE
"5","GSE326225",25,0.6,"dataset",0.0102165917449939,0.0305543187889581,0.334374718531967,FALSE
"6","GSE326225",12,0.6,"dataset",0.0049813200498132,0.0305543187889581,0.163031618679497,FALSE
"7","GSE326225",37,0.6,"dataset",0.0171933085501859,0.0305543187889581,0.562712874371111,FALSE
"8","GSE326225",10,0.6,"dataset",0.00710732054015636,0.0305543187889581,0.232612632906247,FALSE
"9","GSE326225",189,0.6,"dataset",0.185475956820412,0.0305543187889581,6.07036792741196,FALSE
"10","GSE326225",25,0.6,"dataset",0.0253292806484296,0.0305543187889581,0.82899183003822,FALSE
"11","GSE326225",49,0.6,"dataset",0.0577149587750294,0.0305543187889581,1.88892965258603,FALSE
"12","GSE326225",14,0.6,"dataset",0.0185185185185185,0.0305543187889581,0.606085137961276,FALSE
"13","GSE326225",67,0.6,"dataset",0.112794612794613,0.0305543187889581,3.69160947667323,FALSE
