"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"5","CNP0000460_P02N",2,0.2,"specimen_orig_ident","orig.ident",0.00112739571589628
"6","CNP0000460_P02N",8,0.2,"specimen_orig_ident","orig.ident",0.00796019900497512
"7","CNP0000460_P02N",2,0.2,"specimen_orig_ident","orig.ident",0.00241837968561064
"8","CNP0000460_P02N",4,0.2,"specimen_orig_ident","orig.ident",0.00524246395806029
"9","CNP0000460_P02N",24,0.2,"specimen_orig_ident","orig.ident",0.0533333333333333
"0","CNP0000460_P02T",186,0.2,"specimen_orig_ident","orig.ident",0.0120139516858287
"1","CNP0000460_P02T",134,0.2,"specimen_orig_ident","orig.ident",0.0114383269312847
"2","CNP0000460_P02T",84,0.2,"specimen_orig_ident","orig.ident",0.0213577421815408
"3","CNP0000460_P02T",38,0.2,"specimen_orig_ident","orig.ident",0.0142375421506182
"4","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P02T",56,0.2,"specimen_orig_ident","orig.ident",0.0315670800450958
"6","CNP0000460_P02T",80,0.2,"specimen_orig_ident","orig.ident",0.0796019900497512
"7","CNP0000460_P02T",16,0.2,"specimen_orig_ident","orig.ident",0.0193470374848851
"8","CNP0000460_P02T",17,0.2,"specimen_orig_ident","orig.ident",0.0222804718217562
"9","CNP0000460_P02T",10,0.2,"specimen_orig_ident","orig.ident",0.0222222222222222
"0","CNP0000460_P03N",313,0.2,"specimen_orig_ident","orig.ident",0.0202170262240021
"1","CNP0000460_P03N",189,0.2,"specimen_orig_ident","orig.ident",0.0161331626120359
"2","CNP0000460_P03N",171,0.2,"specimen_orig_ident","orig.ident",0.0434782608695652
"3","CNP0000460_P03N",55,0.2,"specimen_orig_ident","orig.ident",0.0206069689022106
"4","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P03N",19,0.2,"specimen_orig_ident","orig.ident",0.0107102593010147
"6","CNP0000460_P03N",13,0.2,"specimen_orig_ident","orig.ident",0.0129353233830846
"7","CNP0000460_P03N",9,0.2,"specimen_orig_ident","orig.ident",0.0108827085852479
"8","CNP0000460_P03N",10,0.2,"specimen_orig_ident","orig.ident",0.0131061598951507
"9","CNP0000460_P03N",14,0.2,"specimen_orig_ident","orig.ident",0.0311111111111111
"0","CNP0000460_P03T",396,0.2,"specimen_orig_ident","orig.ident",0.0255780906859579
"1","CNP0000460_P03T",409,0.2,"specimen_orig_ident","orig.ident",0.0349125053350405
"2","CNP0000460_P03T",302,0.2,"specimen_orig_ident","orig.ident",0.0767861683193491
"3","CNP0000460_P03T",27,0.2,"specimen_orig_ident","orig.ident",0.0101161483701761
"4","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P03T",23,0.2,"specimen_orig_ident","orig.ident",0.0129650507328072
"6","CNP0000460_P03T",31,0.2,"specimen_orig_ident","orig.ident",0.0308457711442786
"7","CNP0000460_P03T",58,0.2,"specimen_orig_ident","orig.ident",0.0701330108827086
"8","CNP0000460_P03T",16,0.2,"specimen_orig_ident","orig.ident",0.0209698558322412
"9","CNP0000460_P03T",5,0.2,"specimen_orig_ident","orig.ident",0.0111111111111111
"0","CNP0000460_P04T",117,0.2,"specimen_orig_ident","orig.ident",0.00755716315721483
"1","CNP0000460_P04T",178,0.2,"specimen_orig_ident","orig.ident",0.0151941954758856
"2","CNP0000460_P04T",94,0.2,"specimen_orig_ident","orig.ident",0.0239003305364861
"3","CNP0000460_P04T",41,0.2,"specimen_orig_ident","orig.ident",0.0153615586361933
"4","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P04T",144,0.2,"specimen_orig_ident","orig.ident",0.0811724915445321
"6","CNP0000460_P04T",21,0.2,"specimen_orig_ident","orig.ident",0.0208955223880597
"7","CNP0000460_P04T",39,0.2,"specimen_orig_ident","orig.ident",0.0471584038694075
"8","CNP0000460_P04T",13,0.2,"specimen_orig_ident","orig.ident",0.0170380078636959
"9","CNP0000460_P04T",3,0.2,"specimen_orig_ident","orig.ident",0.00666666666666667
"0","CNP0000460_P05N",135,0.2,"specimen_orig_ident","orig.ident",0.00871980364294019
"1","CNP0000460_P05N",79,0.2,"specimen_orig_ident","orig.ident",0.0067434912505335
"2","CNP0000460_P05N",96,0.2,"specimen_orig_ident","orig.ident",0.0244088482074752
"3","CNP0000460_P05N",42,0.2,"specimen_orig_ident","orig.ident",0.0157362307980517
"4","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P05N",168,0.2,"specimen_orig_ident","orig.ident",0.0947012401352875
"6","CNP0000460_P05N",6,0.2,"specimen_orig_ident","orig.ident",0.00597014925373134
"7","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P05N",6,0.2,"specimen_orig_ident","orig.ident",0.00786369593709043
"9","CNP0000460_P05N",19,0.2,"specimen_orig_ident","orig.ident",0.0422222222222222
"0","CNP0000460_P05T",44,0.2,"specimen_orig_ident","orig.ident",0.00284201007621754
"1","CNP0000460_P05T",35,0.2,"specimen_orig_ident","orig.ident",0.00298762270593257
"2","CNP0000460_P05T",30,0.2,"specimen_orig_ident","orig.ident",0.007627765064836
"3","CNP0000460_P05T",6,0.2,"specimen_orig_ident","orig.ident",0.00224803297115024
"4","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P05T",30,0.2,"specimen_orig_ident","orig.ident",0.0169109357384442
"6","CNP0000460_P05T",5,0.2,"specimen_orig_ident","orig.ident",0.00497512437810945
