"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"4","CNP0000460_P02T",10,0.2,"orig.ident",0.00357142857142857
"5","CNP0000460_P02T",0,0.2,"orig.ident",0
"6","CNP0000460_P02T",78,0.2,"orig.ident",0.0790273556231003
"7","CNP0000460_P02T",14,0.2,"orig.ident",0.0166865315852205
"8","CNP0000460_P02T",17,0.2,"orig.ident",0.0224867724867725
"9","CNP0000460_P02T",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P02T",10,0.2,"orig.ident",0.022271714922049
"11","CNP0000460_P02T",3,0.2,"orig.ident",0.0201342281879195
"0","CNP0000460_P03N",192,0.2,"orig.ident",0.0179775280898876
"1","CNP0000460_P03N",306,0.2,"orig.ident",0.0295766479798956
"2","CNP0000460_P03N",137,0.2,"orig.ident",0.0431904161412358
"3","CNP0000460_P03N",26,0.2,"orig.ident",0.00838168923275306
"4","CNP0000460_P03N",10,0.2,"orig.ident",0.00357142857142857
"5","CNP0000460_P03N",0,0.2,"orig.ident",0
"6","CNP0000460_P03N",12,0.2,"orig.ident",0.0121580547112462
"7","CNP0000460_P03N",10,0.2,"orig.ident",0.0119189511323004
"8","CNP0000460_P03N",10,0.2,"orig.ident",0.0132275132275132
"9","CNP0000460_P03N",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P03N",14,0.2,"orig.ident",0.0311804008908686
"11","CNP0000460_P03N",1,0.2,"orig.ident",0.00671140939597315
"0","CNP0000460_P03T",391,0.2,"orig.ident",0.0366104868913858
"1","CNP0000460_P03T",388,0.2,"orig.ident",0.0375024163928088
"2","CNP0000460_P03T",273,0.2,"orig.ident",0.0860655737704918
"3","CNP0000460_P03T",33,0.2,"orig.ident",0.0106382978723404
"4","CNP0000460_P03T",17,0.2,"orig.ident",0.00607142857142857
"5","CNP0000460_P03T",0,0.2,"orig.ident",0
"6","CNP0000460_P03T",32,0.2,"orig.ident",0.0324214792299899
"7","CNP0000460_P03T",58,0.2,"orig.ident",0.0691299165673421
"8","CNP0000460_P03T",16,0.2,"orig.ident",0.0211640211640212
"9","CNP0000460_P03T",3,0.2,"orig.ident",0.00587084148727984
"10","CNP0000460_P03T",5,0.2,"orig.ident",0.0111358574610245
"11","CNP0000460_P03T",0,0.2,"orig.ident",0
"0","CNP0000460_P04T",171,0.2,"orig.ident",0.0160112359550562
"1","CNP0000460_P04T",82,0.2,"orig.ident",0.0079257684129132
"2","CNP0000460_P04T",79,0.2,"orig.ident",0.0249054224464061
"3","CNP0000460_P04T",44,0.2,"orig.ident",0.0141843971631206
"4","CNP0000460_P04T",12,0.2,"orig.ident",0.00428571428571429
"5","CNP0000460_P04T",0,0.2,"orig.ident",0
"6","CNP0000460_P04T",20,0.2,"orig.ident",0.0202634245187437
"7","CNP0000460_P04T",34,0.2,"orig.ident",0.0405244338498212
"8","CNP0000460_P04T",13,0.2,"orig.ident",0.0171957671957672
"9","CNP0000460_P04T",6,0.2,"orig.ident",0.0117416829745597
"10","CNP0000460_P04T",3,0.2,"orig.ident",0.0066815144766147
"11","CNP0000460_P04T",1,0.2,"orig.ident",0.00671140939597315
"0","CNP0000460_P05N",85,0.2,"orig.ident",0.00795880149812734
"1","CNP0000460_P05N",121,0.2,"orig.ident",0.0116953411946646
"2","CNP0000460_P05N",83,0.2,"orig.ident",0.0261664564943253
"3","CNP0000460_P05N",10,0.2,"orig.ident",0.00322372662798195
"4","CNP0000460_P05N",10,0.2,"orig.ident",0.00357142857142857
"5","CNP0000460_P05N",0,0.2,"orig.ident",0
"6","CNP0000460_P05N",4,0.2,"orig.ident",0.00405268490374873
"7","CNP0000460_P05N",0,0.2,"orig.ident",0
"8","CNP0000460_P05N",5,0.2,"orig.ident",0.00661375661375661
"9","CNP0000460_P05N",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P05N",20,0.2,"orig.ident",0.044543429844098
"11","CNP0000460_P05N",1,0.2,"orig.ident",0.00671140939597315
"0","CNP0000460_P05T",33,0.2,"orig.ident",0.00308988764044944
"1","CNP0000460_P05T",45,0.2,"orig.ident",0.004349507055867
"2","CNP0000460_P05T",24,0.2,"orig.ident",0.00756620428751576
"3","CNP0000460_P05T",6,0.2,"orig.ident",0.00193423597678917
"4","CNP0000460_P05T",1,0.2,"orig.ident",0.000357142857142857
"5","CNP0000460_P05T",0,0.2,"orig.ident",0
"6","CNP0000460_P05T",4,0.2,"orig.ident",0.00405268490374873
"7","CNP0000460_P05T",5,0.2,"orig.ident",0.00595947556615018
"8","CNP0000460_P05T",4,0.2,"orig.ident",0.00529100529100529
"9","CNP0000460_P05T",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P05T",3,0.2,"orig.ident",0.0066815144766147
"11","CNP0000460_P05T",0,0.2,"orig.ident",0
"0","CNP0000460_P06T",377,0.2,"orig.ident",0.0352996254681648
"1","CNP0000460_P06T",81,0.2,"orig.ident",0.0078291127005606
"2","CNP0000460_P06T",83,0.2,"orig.ident",0.0261664564943253
"3","CNP0000460_P06T",50,0.2,"orig.ident",0.0161186331399097
"4","CNP0000460_P06T",8,0.2,"orig.ident",0.00285714285714286
"5","CNP0000460_P06T",0,0.2,"orig.ident",0
"6","CNP0000460_P06T",60,0.2,"orig.ident",0.060790273556231
"7","CNP0000460_P06T",74,0.2,"orig.ident",0.0882002383790226
"8","CNP0000460_P06T",29,0.2,"orig.ident",0.0383597883597884
"9","CNP0000460_P06T",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P06T",7,0.2,"orig.ident",0.0155902004454343
"11","CNP0000460_P06T",0,0.2,"orig.ident",0
"0","CNP0000460_P07N",159,0.2,"orig.ident",0.0148876404494382
