"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"0",0,8503,4284,0,2654,2,23,8,0,0,8,0,0,0,0
"1",9552,1,11,3,0,2,1214,1,0,0,916,15,0,0,0
"2",1,0,7,3188,0,1,731,2,0,3,0,0,0,0,0
"3",0,0,0,0,0,2336,0,0,0,0,0,0,0,0,333
"4",0,0,0,0,5,0,2,0,1768,0,0,0,0,0,0
"5",0,2,0,0,0,0,0,1772,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,827,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,763,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,450,0
