"metric","value"
"cells",40393
"orig_ident_levels",58
"sample_id_present",1
"sample_id_missing_cells",35533
"sample_id_missing_fraction",0.879682123140148
"orig_ident_with_multiple_nonmissing_sample_id",0
"sample_id_with_multiple_orig_ident",0
