"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",903,0,903,0,"","CNP0000460"
"CNP0000460_P01T",381,0,381,0,"","CNP0000460"
"CNP0000460_P02N",237,0,237,0,"","CNP0000460"
"CNP0000460_P02T",621,0,621,0,"","CNP0000460"
"CNP0000460_P03N",793,0,793,0,"","CNP0000460"
"CNP0000460_P03T",1267,0,1267,0,"","CNP0000460"
"CNP0000460_P04T",650,0,650,0,"","CNP0000460"
"CNP0000460_P05N",551,0,551,0,"","CNP0000460"
"CNP0000460_P05T",162,0,162,0,"","CNP0000460"
"CNP0000460_P06T",907,0,907,0,"","CNP0000460"
"CNP0000460_P07N",916,0,916,0,"","CNP0000460"
"CNP0000460_P07T",353,0,353,0,"","CNP0000460"
"GSE326225_BC1",160,0,160,0,"","GSE326225"
"GSE326225_BC2",13,0,13,0,"","GSE326225"
"GSE326225_BC3",154,0,154,0,"","GSE326225"
"GSE326225_BC4",339,0,339,0,"","GSE326225"
"GSE326225_BC5",85,0,85,0,"","GSE326225"
"GSE326225_BC6",539,0,539,0,"","GSE326225"
"GSE326225_BC7",63,0,63,0,"","GSE326225"
"GSE326225_BC8",43,0,43,0,"","GSE326225"
"HRA003620_BC-01",229,0,229,0,"","HRA003620"
"HRA003620_BC-04",831,0,831,0,"","HRA003620"
"HRA003620_BC-05",516,0,516,0,"","HRA003620"
"HRA003620_BC-11",602,0,602,0,"","HRA003620"
"HRA003620_BC-24",482,0,482,0,"","HRA003620"
"HRA003620_BC-27",308,0,308,0,"","HRA003620"
"HRA003620_BC-30",1740,0,1740,0,"","HRA003620"
"HRA003620_NC-01",941,0,941,0,"","HRA003620"
"HRA003620_NC-04",2377,0,2377,0,"","HRA003620"
"HRA003620_NC-05",2064,0,2064,0,"","HRA003620"
"HRA003620_NC-11",1001,0,1001,0,"","HRA003620"
"HRA003620_NC-24",491,0,491,0,"","HRA003620"
"HRA003620_NC-27",452,0,452,0,"","HRA003620"
"HRA003620_NC-30",2789,0,2789,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",779,779,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",1117,1117,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",410,410,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",226,226,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",170,170,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",939,939,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",178,178,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",451,451,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",60,60,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",331,331,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",199,199,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",1366,0,1366,0,"","InhouseData"
"T4295396",385,0,385,0,"","InhouseData"
"T4380845",612,0,612,0,"","InhouseData"
"T4398343",1573,0,1573,0,"","InhouseData"
"T4450398",322,0,322,0,"","InhouseData"
"T4463209a",498,0,498,0,"","InhouseData"
"T4463209b",339,0,339,0,"","InhouseData"
"T4465219",883,0,883,0,"","InhouseData"
"T4465935",323,0,323,0,"","InhouseData"
"T4466585",1836,0,1836,0,"","InhouseData"
"T4469479",1498,0,1498,0,"","InhouseData"
"T4471438",980,0,980,0,"","InhouseData"
"T8009218",958,0,958,0,"","InhouseData"
