"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.6,0.8,"5","6",2439,0.996730690641602
0.6,0.8,"9","6",1,0.00098135426889107
0.6,0.8,"15","6",2,0.00492610837438424
0.6,0.8,"0","7",1,0.000167000668002672
0.6,0.8,"2","7",1,0.000239750659314313
0.6,0.8,"7","7",2151,0.99953531598513
0.6,0.8,"1","8",12,0.00240673886883273
0.6,0.8,"2","8",1,0.000239750659314313
0.6,0.8,"6","8",1,0.0004151100041511
0.6,0.8,"8","8",1407,1
0.6,0.8,"13","8",1,0.00168350168350168
0.6,0.8,"0","9",25,0.0041750167000668
0.6,0.8,"2","9",1,0.000239750659314313
0.6,0.8,"3","9",1,0.000254452926208651
0.6,0.8,"5","9",5,0.00204331834899877
0.6,0.8,"6","9",7,0.0029057700290577
0.6,0.8,"9","9",1008,0.989205103042198
0.6,0.8,"0","10",717,0.119739478957916
0.6,0.8,"3","10",12,0.00305343511450382
0.6,0.8,"4","10",12,0.00377358490566038
0.6,0.8,"6","10",287,0.119136571191366
0.6,0.8,"9","10",6,0.00588812561334642
0.6,0.8,"15","10",1,0.00246305418719212
0.6,0.8,"4","11",5,0.00157232704402516
0.6,0.8,"10","11",987,1
0.6,0.8,"11","12",846,0.996466431095406
0.6,0.8,"4","13",1,0.000314465408805031
0.6,0.8,"12","13",756,1
0.6,0.8,"1","14",3,0.000601684717208183
0.6,0.8,"2","14",1,0.000239750659314313
0.6,0.8,"11","14",1,0.00117785630153121
0.6,0.8,"13","14",533,0.897306397306397
0.6,0.8,"14","15",450,1
0.6,0.8,"0","16",14,0.00233800935203741
0.6,0.8,"4","16",1,0.000314465408805031
0.6,0.8,"9","16",2,0.00196270853778214
0.6,0.8,"15","16",403,0.992610837438424
0.6,0.8,"0","17",3,0.000501002004008016
0.6,0.8,"2","17",1,0.000239750659314313
0.6,0.8,"16","17",201,0.980487804878049
