"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_clustering"
1,6.53144620965959,11.7656858816766,11.7656858816766,TRUE
2,5.42150952395805,8.10660459437846,19.872290476055,TRUE
3,5.30253419933333,7.75470884991675,27.6269993259718,TRUE
4,5.12647965445349,7.24831429672064,34.8753136226924,TRUE
5,4.26406555963132,5.01471535953451,39.8900289822269,TRUE
6,4.12474953979017,4.69238573597262,44.5824147181996,TRUE
7,3.66428398912463,3.70319678183192,48.2856115000315,TRUE
8,3.4342705157819,3.25287626105413,51.5384877610856,TRUE
9,3.36614512666976,3.12510211299733,54.6635898740829,TRUE
10,3.24107183918778,2.89718251307569,57.5607723871586,TRUE
11,3.0647941160851,2.59060471027093,60.1513770974296,TRUE
12,2.82344667902619,2.19865820765536,62.3500353050849,TRUE
13,2.66625506142042,1.96065836325063,64.3106936683355,TRUE
14,2.60371917643588,1.86976412950643,66.180457797842,TRUE
15,2.51771777295017,1.74828661160987,67.9287444094519,TRUE
16,2.42737044227104,1.62506470917975,69.5538091186316,TRUE
17,2.39868012701136,1.58687681335125,71.1406859319828,TRUE
18,2.29180697173297,1.44862045364668,72.5893063856295,TRUE
19,2.21924116823119,1.35833703187803,73.9476434175075,TRUE
20,2.1933319931359,1.32680557440167,75.2744489919092,TRUE
21,2.14165587126198,1.26502152909973,76.539470521009,TRUE
22,2.08486567288495,1.19882198276176,77.7382925037707,TRUE
23,2.05535990153272,1.16512977137949,78.9034222751502,TRUE
24,2.02187272334121,1.1274730431364,80.0308953182866,TRUE
25,2.00737968642904,1.11136723900918,81.1422625572958,FALSE
26,1.96784244168881,1.0680195106947,82.2102820679905,FALSE
27,1.92599226850698,1.02307534612466,83.2333574141151,FALSE
28,1.88996488416288,0.985158276790931,84.2185156909061,FALSE
29,1.84802011584969,0.941915468075327,85.1604311589814,FALSE
30,1.79252112074459,0.886190527407594,86.046621686389,FALSE
31,1.78697332044006,0.880713548696885,86.9273352350859,FALSE
32,1.75914602991507,0.853497641772666,87.7808328768586,FALSE
33,1.74294363047246,0.83784797351187,88.6186808503704,FALSE
34,1.68986604546892,0.787595271207518,89.4062761215779,FALSE
35,1.66721548668391,0.766623295316065,90.172899416894,FALSE
36,1.65760831893769,0.757813566305124,90.9307129831991,FALSE
37,1.62615907178872,0.729330864721328,91.6600438479205,FALSE
38,1.60528039825302,0.710722960184739,92.3707668081052,FALSE
39,1.59960031230756,0.705702248106272,93.0764690562115,FALSE
40,1.57794057362234,0.686720207391371,93.7631892636028,FALSE
41,1.56254853481162,0.673388309407915,94.4365775730108,FALSE
42,1.53834357451731,0.65268739303552,95.0892649660463,FALSE
43,1.53566317050296,0.650414894478015,95.7396798605243,FALSE
44,1.51855440193549,0.636003126434862,96.3756829869591,FALSE
45,1.50985609608483,0.628737920020002,97.0044209069792,FALSE
46,1.49662634244446,0.617767860881793,97.6221887678609,FALSE
47,1.48453781096546,0.60782851104827,98.2300172789092,FALSE
48,1.47534382183279,0.600323058729988,98.8303403376392,FALSE
49,1.45988778630168,0.587810704718393,99.4181510423576,FALSE
50,1.45246561568799,0.581848957642402,100,FALSE
