"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"4","CNP0000460_P04T",365,0.2,"orig.ident",0.0328444164492036
"5","CNP0000460_P04T",0,0.2,"orig.ident",0
"6","CNP0000460_P04T",176,0.2,"orig.ident",0.0297951582867784
"7","CNP0000460_P04T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P04T",0,0.2,"orig.ident",0
"0","CNP0000460_P05N",268,0.2,"orig.ident",0.00658169404946094
"1","CNP0000460_P05N",0,0.2,"orig.ident",0
"2","CNP0000460_P05N",37,0.2,"orig.ident",0.00214046048825639
"3","CNP0000460_P05N",35,0.2,"orig.ident",0.00309734513274336
"4","CNP0000460_P05N",55,0.2,"orig.ident",0.00494915864303068
"5","CNP0000460_P05N",0,0.2,"orig.ident",0
"6","CNP0000460_P05N",16,0.2,"orig.ident",0.00270865075334349
"7","CNP0000460_P05N",0,0.2,"orig.ident",0
"singleton","CNP0000460_P05N",0,0.2,"orig.ident",0
"0","CNP0000460_P05T",356,0.2,"orig.ident",0.00874284731943319
"1","CNP0000460_P05T",0,0.2,"orig.ident",0
"2","CNP0000460_P05T",66,0.2,"orig.ident",0.00381811870878167
"3","CNP0000460_P05T",38,0.2,"orig.ident",0.00336283185840708
"4","CNP0000460_P05T",244,0.2,"orig.ident",0.0219562674345361
"5","CNP0000460_P05T",0,0.2,"orig.ident",0
"6","CNP0000460_P05T",35,0.2,"orig.ident",0.00592517352293889
"7","CNP0000460_P05T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P05T",0,0.2,"orig.ident",0
"0","CNP0000460_P06T",781,0.2,"orig.ident",0.0191802352710037
"1","CNP0000460_P06T",0,0.2,"orig.ident",0
"2","CNP0000460_P06T",771,0.2,"orig.ident",0.0446025685525859
"3","CNP0000460_P06T",149,0.2,"orig.ident",0.0131858407079646
"4","CNP0000460_P06T",502,0.2,"orig.ident",0.0451723207054801
"5","CNP0000460_P06T",0,0.2,"orig.ident",0
"6","CNP0000460_P06T",178,0.2,"orig.ident",0.0301337396309463
"7","CNP0000460_P06T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P06T",0,0.2,"orig.ident",0
"0","CNP0000460_P07N",733,0.2,"orig.ident",0.0180014243964734
"1","CNP0000460_P07N",0,0.2,"orig.ident",0
"2","CNP0000460_P07N",70,0.2,"orig.ident",0.00404951984264723
"3","CNP0000460_P07N",138,0.2,"orig.ident",0.012212389380531
"4","CNP0000460_P07N",91,0.2,"orig.ident",0.00818860793665077
"5","CNP0000460_P07N",0,0.2,"orig.ident",0
"6","CNP0000460_P07N",41,0.2,"orig.ident",0.00694091755544269
"7","CNP0000460_P07N",0,0.2,"orig.ident",0
"singleton","CNP0000460_P07N",0,0.2,"orig.ident",0
"0","CNP0000460_P07T",247,0.2,"orig.ident",0.00606596429185393
"1","CNP0000460_P07T",0,0.2,"orig.ident",0
"2","CNP0000460_P07T",15,0.2,"orig.ident",0.000867754251995835
"3","CNP0000460_P07T",86,0.2,"orig.ident",0.00761061946902655
"4","CNP0000460_P07T",258,0.2,"orig.ident",0.0232160532709439
"5","CNP0000460_P07T",0,0.2,"orig.ident",0
"6","CNP0000460_P07T",24,0.2,"orig.ident",0.00406297613001524
"7","CNP0000460_P07T",0,0.2,"orig.ident",0
"singleton","CNP0000460_P07T",0,0.2,"orig.ident",0
"0","GSE326225_BC1",7,0.2,"orig.ident",0.000171909919202338
"1","GSE326225_BC1",0,0.2,"orig.ident",0
"2","GSE326225_BC1",7,0.2,"orig.ident",0.000404951984264723
