"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_clustering"
1,6.36049284805183,15.8228817675295,15.8228817675295,TRUE
2,4.81528338465719,9.06875663506799,24.8916384025975,TRUE
3,4.63439870944468,8.40022337543498,33.2918617780325,TRUE
4,4.20964270385853,6.9309779699922,40.2228397480247,TRUE
5,3.46405639184197,4.69325284818492,44.9160925962096,TRUE
6,3.2208278984271,4.05731834326543,48.9734109394751,TRUE
7,3.01187241333399,3.54794751797048,52.5213584574455,TRUE
8,2.71892940318664,2.89134495224741,55.4127034096929,TRUE
9,2.5545657462289,2.55233816602505,57.965041575718,TRUE
10,2.4631114191029,2.37286024920797,60.337901824926,TRUE
11,2.27961121959311,2.03247689492247,62.3703787198484,TRUE
12,2.20565892558529,1.90274573486526,64.2731244547137,TRUE
13,2.12540151416201,1.76679441188999,66.0399188666037,TRUE
14,2.05621473348233,1.65364003870192,67.6935589053056,TRUE
15,1.97804430879564,1.5302982341155,69.2238571394211,TRUE
16,1.93625480110719,1.46632102223992,70.690178161661,TRUE
17,1.84304800063293,1.32854826967451,72.0187264313355,TRUE
18,1.83165464592902,1.31217339947451,73.33089983081,TRUE
19,1.79956799477138,1.26660315946012,74.5975029902701,TRUE
20,1.77606118320577,1.23372933405749,75.8312323243276,TRUE
21,1.69322778162335,1.12133355120534,76.952565875533,TRUE
22,1.66140134809507,1.07957585467108,78.032141730204,TRUE
23,1.64675549808776,1.06062605077891,79.092767780983,TRUE
24,1.60411243504694,1.00640701814641,80.0991747991294,TRUE
25,1.58384446918155,0.981135772357269,81.0803105714866,FALSE
26,1.57459997024714,0.969715915401691,82.0500264868883,FALSE
27,1.55471444565391,0.945377612099334,82.9954040989877,FALSE
28,1.52126301250081,0.905133539566032,83.9005376385537,FALSE
29,1.50543062909045,0.886391415489522,84.7869290540432,FALSE
30,1.47564038093332,0.85165776036093,85.6385868144041,FALSE
31,1.46954092751508,0.84463177888879,86.4832185932929,FALSE
32,1.46247032720958,0.836523550626648,87.3197421439196,FALSE
33,1.44862141095579,0.820755582751835,88.1404977266714,FALSE
34,1.42855917218595,0.798179397436099,88.9386771241075,FALSE
35,1.40966761117571,0.777208404937867,89.7158855290454,FALSE
36,1.40100938938122,0.767690448946817,90.4835759779922,FALSE
37,1.38082618559978,0.745730789156123,91.2293067671483,FALSE
38,1.37251841662029,0.736784374423829,91.9660911415722,FALSE
39,1.36413004143727,0.727805934001003,92.6938970755732,FALSE
40,1.35073357818638,0.713581263324401,93.4074783388976,FALSE
41,1.32937880781871,0.691196528331608,94.0986748672292,FALSE
42,1.31944012525607,0.680900134699821,94.779575001929,FALSE
43,1.31661501035404,0.677987442106923,95.4575624440359,FALSE
44,1.31186425393017,0.673103490351568,96.1306659343875,FALSE
45,1.30352278936381,0.664570871960103,96.7952368063476,FALSE
46,1.29516598855644,0.65607714360909,97.4513139499567,FALSE
47,1.28645864281555,0.647285239737377,98.0985991896941,FALSE
48,1.28321099333377,0.644021237195518,98.7426204268896,FALSE
49,1.27449196755179,0.635299116063947,99.3779195429535,FALSE
50,1.26116310225712,0.622080457046474,100,FALSE
