"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",1874,0.146532176088826,0.1457762172735,1.00518574860471,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",3477,0.289556962025316,0.1457762172735,1.98631139866979,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",2726,0.265252505595018,0.1457762172735,1.81958697074271,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",2954,0.288645690834473,0.1457762172735,1.98006023364516,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",2278,0.233712937314045,0.1457762172735,1.60323090889073,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",0,0,0.1457762172735,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",1293,0.143730546909738,0.1457762172735,0.985967050030362,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","CNP0000460",0,0,0.1457762172735,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","CNP0000460",0,0,0.1457762172735,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","CNP0000460",0,0,0.1457762172735,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","CNP0000460",637,0.0984391902333488,0.1457762172735,0.675276064055503,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","CNP0000460",1154,0.206292456203075,0.1457762172735,1.41513108284348,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","CNP0000460",361,0.0695032730073161,0.1457762172735,0.476780604595582,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","CNP0000460",603,0.130491235663276,0.1457762172735,0.895147631787246,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","CNP0000460",826,0.263560944479898,0.1457762172735,1.80798314985369,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","CNP0000460",2,0.0034965034965035,0.1457762172735,0.0239854179364765,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","GSE326225",740,0.0578622253499101,0.0340451798053645,1.69957173616668,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","GSE326225",282,0.0234843437708195,0.0340451798053645,0.689799375567375,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","GSE326225",1027,0.0999318867373747,0.0340451798053645,2.9352726967131,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","GSE326225",505,0.0493453195231581,0.0340451798053645,1.44940692941744,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","GSE326225",329,0.0337539755822304,0.0340451798053645,0.991446535903206,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","GSE326225",8,0.000861326442721792,0.0340451798053645,0.0252995122259884,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","GSE326225",60,0.00666963094708759,0.0340451798053645,0.195905293648549,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","GSE326225",0,0,0.0340451798053645,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","GSE326225",2,0.000228675966155957,0.0340451798053645,0.00671683825620226,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","GSE326225",3,0.000363901018922853,0.0340451798053645,0.0106887677199318,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","GSE326225",203,0.0313707309534848,0.0340451798053645,0.921444126094517,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","GSE326225",120,0.0214515552377547,0.0340451798053645,0.630090819328691,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","GSE326225",50,0.00962649210627647,0.0340451798053645,0.282756389048638,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","GSE326225",134,0.028998052369617,0.0340451798053645,0.851752069908226,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","GSE326225",224,0.0714741544352265,0.0340451798053645,2.09939130425636,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","GSE326225",560,0.979020979020979,0.0340451798053645,28.7565224979871,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","HRA003620",8807,0.688638673860349,0.325701826110657,2.11432242208671,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","HRA003620",4784,0.398401065956029,0.325701826110657,1.22320795898968,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","HRA003620",4304,0.418799260484577,0.325701826110657,1.28583639055892,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","HRA003620",4103,0.400918506937659,0.325701826110657,1.2309372401291,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
