"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"1","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P03T",141,0.2,"specimen_orig_ident","orig.ident",0.00854545454545455
"3","CNP0000460_P03T",171,0.2,"specimen_orig_ident","orig.ident",0.015426251691475
"4","CNP0000460_P03T",200,0.2,"specimen_orig_ident","orig.ident",0.0195102916788606
"5","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P03T",114,0.2,"specimen_orig_ident","orig.ident",0.0155398037077426
"0","CNP0000460_P04T",1178,0.2,"specimen_orig_ident","orig.ident",0.0285388957530828
"1","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P04T",542,0.2,"specimen_orig_ident","orig.ident",0.0328484848484848
"3","CNP0000460_P04T",144,0.2,"specimen_orig_ident","orig.ident",0.0129905277401894
"4","CNP0000460_P04T",341,0.2,"specimen_orig_ident","orig.ident",0.0332650473124573
"5","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P04T",220,0.2,"specimen_orig_ident","orig.ident",0.0299890948745911
"0","CNP0000460_P05N",274,0.2,"specimen_orig_ident","orig.ident",0.00663807931777988
"1","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P05N",33,0.2,"specimen_orig_ident","orig.ident",0.002
"3","CNP0000460_P05N",34,0.2,"specimen_orig_ident","orig.ident",0.00306720793865584
"4","CNP0000460_P05N",45,0.2,"specimen_orig_ident","orig.ident",0.00438981562774363
"5","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P05N",25,0.2,"specimen_orig_ident","orig.ident",0.00340785169029444
"0","CNP0000460_P05T",359,0.2,"specimen_orig_ident","orig.ident",0.00869733750030283
"1","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P05T",69,0.2,"specimen_orig_ident","orig.ident",0.00418181818181818
"3","CNP0000460_P05T",37,0.2,"specimen_orig_ident","orig.ident",0.00333784393324312
"4","CNP0000460_P05T",229,0.2,"specimen_orig_ident","orig.ident",0.0223392839722954
"5","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P05T",45,0.2,"specimen_orig_ident","orig.ident",0.00613413304252999
"0","CNP0000460_P06T",804,0.2,"specimen_orig_ident","orig.ident",0.0194781597499818
"1","CNP0000460_P06T",1,0.2,"specimen_orig_ident","orig.ident",3.44459371017189e-05
"2","CNP0000460_P06T",734,0.2,"specimen_orig_ident","orig.ident",0.0444848484848485
"3","CNP0000460_P06T",146,0.2,"specimen_orig_ident","orig.ident",0.013170951736581
"4","CNP0000460_P06T",475,0.2,"specimen_orig_ident","orig.ident",0.0463369427372939
"5","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P06T",221,0.2,"specimen_orig_ident","orig.ident",0.0301254089422028
"0","CNP0000460_P07N",723,0.2,"specimen_orig_ident","orig.ident",0.0175158078348717
"1","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P07N",75,0.2,"specimen_orig_ident","orig.ident",0.00454545454545455
"3","CNP0000460_P07N",135,0.2,"specimen_orig_ident","orig.ident",0.0121786197564276
"4","CNP0000460_P07N",86,0.2,"specimen_orig_ident","orig.ident",0.00838942542191006
"5","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P07N",54,0.2,"specimen_orig_ident","orig.ident",0.00736095965103599
"0","CNP0000460_P07T",247,0.2,"specimen_orig_ident","orig.ident",0.00598396201274317
"1","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P07T",21,0.2,"specimen_orig_ident","orig.ident",0.00127272727272727
"3","CNP0000460_P07T",83,0.2,"specimen_orig_ident","orig.ident",0.00748759585024808
"4","CNP0000460_P07T",246,0.2,"specimen_orig_ident","orig.ident",0.0239976587649985
"5","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P07T",33,0.2,"specimen_orig_ident","orig.ident",0.00449836423118866
"0","GSE326225_BC1",7,0.2,"specimen_orig_ident","orig.ident",0.000169585967972479
"1","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC1",9,0.2,"specimen_orig_ident","orig.ident",0.000545454545454545
"3","GSE326225_BC1",4,0.2,"specimen_orig_ident","orig.ident",0.00036084799278304
"4","GSE326225_BC1",4,0.2,"specimen_orig_ident","orig.ident",0.000390205833577212
"5","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC2",9,0.2,"specimen_orig_ident","orig.ident",0.000218039101678901
"1","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC2",9,0.2,"specimen_orig_ident","orig.ident",0.000545454545454545
"3","GSE326225_BC2",12,0.2,"specimen_orig_ident","orig.ident",0.00108254397834912
"4","GSE326225_BC2",2,0.2,"specimen_orig_ident","orig.ident",0.000195102916788606
"5","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC3",97,0.2,"specimen_orig_ident","orig.ident",0.00234997698476149
"1","GSE326225_BC3",5,0.2,"specimen_orig_ident","orig.ident",0.000172229685508594
"2","GSE326225_BC3",15,0.2,"specimen_orig_ident","orig.ident",0.000909090909090909
"3","GSE326225_BC3",12,0.2,"specimen_orig_ident","orig.ident",0.00108254397834912
"4","GSE326225_BC3",24,0.2,"specimen_orig_ident","orig.ident",0.00234123500146327
"5","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.000107921433196633
"6","GSE326225_BC3",4,0.2,"specimen_orig_ident","orig.ident",0.00054525627044711
"0","GSE326225_BC4",774,0.2,"specimen_orig_ident","orig.ident",0.0187513627443855
"1","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC4",1384,0.2,"specimen_orig_ident","orig.ident",0.0838787878787879
"3","GSE326225_BC4",204,0.2,"specimen_orig_ident","orig.ident",0.018403247631935
"4","GSE326225_BC4",329,0.2,"specimen_orig_ident","orig.ident",0.0320944298117257
"5","GSE326225_BC4",2,0.2,"specimen_orig_ident","orig.ident",0.000215842866393266
"6","GSE326225_BC4",107,0.2,"specimen_orig_ident","orig.ident",0.0145856052344602
"0","GSE326225_BC5",2,0.2,"specimen_orig_ident","orig.ident",4.84531337064225e-05
"1","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC5",1,0.2,"specimen_orig_ident","orig.ident",9.021199819576e-05
"4","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC6",227,0.2,"specimen_orig_ident","orig.ident",0.00549943067567895
"1","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC6",96,0.2,"specimen_orig_ident","orig.ident",0.00581818181818182
"3","GSE326225_BC6",40,0.2,"specimen_orig_ident","orig.ident",0.0036084799278304
"4","GSE326225_BC6",106,0.2,"specimen_orig_ident","orig.ident",0.0103404545897961
"5","GSE326225_BC6",5,0.2,"specimen_orig_ident","orig.ident",0.000539607165983164
"6","GSE326225_BC6",38,0.2,"specimen_orig_ident","orig.ident",0.00517993456924755
"0","GSE326225_BC7",203,0.2,"specimen_orig_ident","orig.ident",0.00491799307120188
"1","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC7",36,0.2,"specimen_orig_ident","orig.ident",0.00218181818181818
"3","GSE326225_BC7",10,0.2,"specimen_orig_ident","orig.ident",0.0009021199819576
"4","GSE326225_BC7",5,0.2,"specimen_orig_ident","orig.ident",0.000487757291971515
"5","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC7",1,0.2,"specimen_orig_ident","orig.ident",0.000136314067611778
"0","GSE326225_BC8",309,0.2,"specimen_orig_ident","orig.ident",0.00748600915764227
"1","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC8",49,0.2,"specimen_orig_ident","orig.ident",0.00296969696969697
"3","GSE326225_BC8",54,0.2,"specimen_orig_ident","orig.ident",0.00487144790257104
"4","GSE326225_BC8",37,0.2,"specimen_orig_ident","orig.ident",0.00360940396058921
"5","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC8",14,0.2,"specimen_orig_ident","orig.ident",0.00190839694656489
"0","HRA003620_BC-01",2305,0.2,"specimen_orig_ident","orig.ident",0.0558422365966519
"1","HRA003620_BC-01",6,0.2,"specimen_orig_ident","orig.ident",0.000206675622610313
"2","HRA003620_BC-01",1625,0.2,"specimen_orig_ident","orig.ident",0.0984848484848485
"3","HRA003620_BC-01",317,0.2,"specimen_orig_ident","orig.ident",0.0285972034280559
"4","HRA003620_BC-01",992,0.2,"specimen_orig_ident","orig.ident",0.0967710467271486
"5","HRA003620_BC-01",2,0.2,"specimen_orig_ident","orig.ident",0.000215842866393266
"6","HRA003620_BC-01",524,0.2,"specimen_orig_ident","orig.ident",0.0714285714285714
"0","HRA003620_BC-04",63,0.2,"specimen_orig_ident","orig.ident",0.00152627371175231
"1","HRA003620_BC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-04",8,0.2,"specimen_orig_ident","orig.ident",0.000484848484848485
"3","HRA003620_BC-04",31,0.2,"specimen_orig_ident","orig.ident",0.00279657194406856
"4","HRA003620_BC-04",27,0.2,"specimen_orig_ident","orig.ident",0.00263388937664618
"5","HRA003620_BC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-04",17,0.2,"specimen_orig_ident","orig.ident",0.00231733914940022
"0","HRA003620_BC-05",860,0.2,"specimen_orig_ident","orig.ident",0.0208348474937617
"1","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-05",791,0.2,"specimen_orig_ident","orig.ident",0.0479393939393939
"3","HRA003620_BC-05",170,0.2,"specimen_orig_ident","orig.ident",0.0153360396932792
"4","HRA003620_BC-05",406,0.2,"specimen_orig_ident","orig.ident",0.039605892108087
"5","HRA003620_BC-05",1,0.2,"specimen_orig_ident","orig.ident",0.000107921433196633
"6","HRA003620_BC-05",174,0.2,"specimen_orig_ident","orig.ident",0.0237186477644493
"0","HRA003620_BC-11",1263,0.2,"specimen_orig_ident","orig.ident",0.0305981539356058
"1","HRA003620_BC-11",2,0.2,"specimen_orig_ident","orig.ident",6.88918742034377e-05
"2","HRA003620_BC-11",3419,0.2,"specimen_orig_ident","orig.ident",0.207212121212121
"3","HRA003620_BC-11",245,0.2,"specimen_orig_ident","orig.ident",0.0221019395579612
"4","HRA003620_BC-11",804,0.2,"specimen_orig_ident","orig.ident",0.0784313725490196
"5","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-11",623,0.2,"specimen_orig_ident","orig.ident",0.0849236641221374
"0","HRA003620_BC-24",1905,0.2,"specimen_orig_ident","orig.ident",0.0461516098553674
"1","HRA003620_BC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-24",1245,0.2,"specimen_orig_ident","orig.ident",0.0754545454545455
"3","HRA003620_BC-24",372,0.2,"specimen_orig_ident","orig.ident",0.0335588633288227
"4","HRA003620_BC-24",57,0.2,"specimen_orig_ident","orig.ident",0.00556043312847527
"5","HRA003620_BC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-24",230,0.2,"specimen_orig_ident","orig.ident",0.0313522355507088
