"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"0",5014,8,0,0,0,0,0,0,632,0,0,0,1,2,1,315,0,0,0
"1",211,4722,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0
"2",0,0,3,0,2733,1162,0,0,0,0,0,0,0,0,0,0,0,36,0
"3",0,0,2864,0,0,0,0,7,0,0,0,0,0,0,0,0,285,0,0
"4",0,0,0,2829,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"5",1,0,0,0,0,0,0,0,0,2,736,0,0,561,4,0,0,1,0
"6",0,0,0,1,0,0,0,0,348,922,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1022,0,1,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
