"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"2","HRA003620",82,0.0286013254272759,0.29951113525258,0.0954933625528018,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","HRA003620",18,0.00636042402826855,0.29951113525258,0.021236018563733,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","HRA003620",3,0.00109769484083425,0.29951113525258,0.00366495502715969,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","HRA003620",3,0.00258175559380379,0.29951113525258,0.00861989852773444,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","HRA003620",151,0.145612343297975,0.29951113525258,0.486166710213224,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","HRA003620",215,0.208940719144801,0.29951113525258,0.697605846836377,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","HRA003620",613,0.606330365974283,0.29951113525258,2.02440007935919,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","HRA003620",9,0.00971922246220302,0.29951113525258,0.0324502875460932,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","HRA003620",101,0.137228260869565,0.29951113525258,0.45817415353803,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","HRA003620",115,0.167638483965015,0.29951113525258,0.559707016647791,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","HRA003620",0,0,0.29951113525258,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","HRA003620",0,0,0.29951113525258,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","HRA003620",22,0.0650887573964497,0.29951113525258,0.217316652823475,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","HRA003620",85,0.268987341772152,0.29951113525258,0.898087951038324,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
