"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_clustering"
1,8.36657372819195,15.2421232790607,15.2421232790607,TRUE
2,6.35043581142876,8.78126829036874,24.0233915694294,TRUE
3,5.34055165597971,6.21044078239905,30.2338323518284,TRUE
4,5.17343127308947,5.82783910087348,36.0616714527019,TRUE
5,4.61288282609004,4.63334918079085,40.6950206334928,TRUE
6,4.53154802116382,4.47139830747476,45.1664189409675,TRUE
7,4.24594978656695,3.92554438797578,49.0919633289433,TRUE
8,3.98386686033519,3.45588925454653,52.5478525834898,TRUE
9,3.73301974367045,3.03438552969314,55.582238113183,TRUE
10,3.67012317781315,2.93299596643676,58.5152340796197,TRUE
11,3.37717712714464,2.48346396825222,60.998698047872,TRUE
12,3.29913818283506,2.37001555917077,63.3687136070427,TRUE
13,3.04730987102856,2.02201057129393,65.3907241783367,TRUE
14,2.96598014169776,1.91551987624876,67.3062440545854,TRUE
15,2.83390913812228,1.74872705074948,69.0549711053349,TRUE
16,2.78598854558933,1.69008613102833,70.7450572363632,TRUE
17,2.70505439713005,1.59331700322629,72.3383742395895,TRUE
18,2.54185491144665,1.40686264967021,73.7452368892597,TRUE
19,2.48844718705793,1.34836366526386,75.0936005545236,TRUE
20,2.39382086597251,1.24776695915501,76.3413675136786,TRUE
21,2.3597908788043,1.21254320204827,77.5539107157269,TRUE
22,2.3368596350782,1.18909194970164,78.7430026654285,TRUE
23,2.2535907197872,1.10586032215103,79.8488629875795,TRUE
24,2.2245565158766,1.07754910922969,80.9264120968092,TRUE
25,2.17701462682003,1.03198379759606,81.9583958944053,FALSE
26,2.14719177717886,1.00390323921851,82.9622991336238,FALSE
27,2.13214372826897,0.989881344044473,83.9521804776683,FALSE
28,2.08456703359192,0.946197759911183,84.8983782375795,FALSE
29,2.06010983252014,0.92412545860598,85.8225036961854,FALSE
30,1.99691281945678,0.868297188662851,86.6908008848483,FALSE
31,1.92735135893014,0.808857419672051,87.4996583045203,FALSE
32,1.91830093780006,0.801278819628045,88.3009371241484,FALSE
33,1.90318215121833,0.788698285984734,89.0896354101331,FALSE
34,1.86391409596034,0.756487872887606,89.8461232830207,FALSE
35,1.84432429337687,0.740670006969017,90.5867932899897,FALSE
36,1.83406424085334,0.732452172877517,91.3192454628673,FALSE
37,1.80854541485266,0.712211566924891,92.0314570297922,FALSE
38,1.78220929352897,0.691620078612153,92.7230771084043,FALSE
39,1.77238766382064,0.684018144412075,93.4070952528164,FALSE
40,1.74499534435834,0.663038474342337,94.0701337271587,FALSE
41,1.72792330276093,0.650128355049911,94.7202620822086,FALSE
42,1.70908071684027,0.636026679143666,95.3562887613523,FALSE
43,1.69497277750771,0.625569606026568,95.9818583673788,FALSE
44,1.6817359402523,0.615837025331075,96.5976953927099,FALSE
45,1.65288999880762,0.594891945183057,97.192587337893,FALSE
46,1.63318920018426,0.58079542092707,97.77338275882,FALSE
47,1.61275684605661,0.566354001262245,98.3397367600823,FALSE
48,1.6034078851783,0.559806858477563,98.8995436185599,FALSE
49,1.59507615645443,0.554004166813152,99.453547785373,FALSE
50,1.58416714792175,0.546452214626993,100,FALSE
