"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12"
"0",5084,4793,0,0,0,0,1,1,634,0,0,0,0
"1",0,0,4043,0,2,0,5,0,0,0,0,0,0
"2",4,0,0,3527,0,6,1,369,0,0,0,0,0
"3",0,0,47,0,2653,0,0,0,0,269,0,0,0
"4",0,0,0,0,0,1147,0,1,0,0,0,0,98
"5",0,0,0,0,0,0,1039,0,3,0,0,0,0
"6",0,0,0,0,0,0,0,593,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,207,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,194,0
"9",151,0,0,0,0,0,0,0,0,0,0,0,0
