"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"6","PRJNA662018",1301,0.8,"dataset",0.710928961748634,0.430242843357993,1.65238997632109,FALSE
"7","PRJNA662018",473,0.8,"dataset",0.40916955017301,0.430242843357993,0.951020002981321,FALSE
"8","PRJNA662018",496,0.8,"dataset",0.474641148325359,0.430242843357993,1.10319359322945,FALSE
"9","PRJNA662018",126,0.8,"dataset",0.141891891891892,0.430242843357993,0.329794891611544,FALSE
"10","PRJNA662018",212,0.8,"dataset",0.307692307692308,0.430242843357993,0.715159618439686,FALSE
"11","PRJNA662018",0,0.8,"dataset",0,0.430242843357993,0,FALSE
"12","PRJNA662018",127,0.8,"dataset",0.22280701754386,0.430242843357993,0.517863390370141,FALSE
"13","PRJNA662018",181,0.8,"dataset",0.672862453531598,0.430242843357993,1.56391318047266,FALSE
"14","PRJNA662018",126,0.8,"dataset",0.533898305084746,0.430242843357993,1.24092315148751,FALSE
"15","PRJNA662018",184,0.8,"dataset",0.888888888888889,0.430242843357993,2.06601667549243,FALSE
"16","PRJNA662018",51,0.8,"dataset",0.51,0.430242843357993,1.18537706756378,FALSE
