"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"8",0.4,"0",1,0.000956937799043062
"8",0.4,"2",3,0.00287081339712919
"8",0.4,"3",49,0.0468899521531101
"8",0.4,"4",785,0.751196172248804
"8",0.4,"5",16,0.015311004784689
"8",0.4,"6",2,0.00191387559808612
"8",0.4,"7",1,0.000956937799043062
"8",0.4,"8",2,0.00191387559808612
"8",0.4,"9",2,0.00191387559808612
"8",0.4,"10",16,0.015311004784689
"8",0.4,"11",5,0.00478468899521531
"8",0.4,"12",163,0.155980861244019
"8",0.8,"4",48,0.045933014354067
"8",0.8,"5",1,0.000956937799043062
"8",0.8,"6",783,0.749282296650718
"8",0.8,"7",16,0.015311004784689
"8",0.8,"8",1,0.000956937799043062
"8",0.8,"9",2,0.00191387559808612
"8",0.8,"11",2,0.00191387559808612
"8",0.8,"12",3,0.00287081339712919
"8",0.8,"13",2,0.00191387559808612
"8",0.8,"14",7,0.00669856459330144
"8",0.8,"15",164,0.156937799043062
"8",0.8,"17",16,0.015311004784689
"8",1.2,"3",48,0.045933014354067
"8",1.2,"6",630,0.602870813397129
"8",1.2,"7",1,0.000956937799043062
"8",1.2,"8",1,0.000956937799043062
"8",1.2,"10",2,0.00191387559808612
"8",1.2,"11",10,0.00956937799043062
"8",1.2,"13",2,0.00191387559808612
"8",1.2,"14",3,0.00287081339712919
"8",1.2,"15",2,0.00191387559808612
"8",1.2,"16",7,0.00669856459330144
"8",1.2,"17",151,0.144497607655502
"8",1.2,"18",7,0.00669856459330144
"8",1.2,"19",165,0.157894736842105
"8",1.2,"20",16,0.015311004784689
