"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"15",0.4,"0",140,0.185430463576159
"15",0.4,"1",27,0.0357615894039735
"15",0.4,"2",588,0.778807947019868
"15",0.8,"15",755,1
"15",1.2,"5",1,0.00132450331125828
"15",1.2,"6",3,0.00397350993377483
"15",1.2,"7",2,0.00264900662251656
"15",1.2,"16",749,0.99205298013245
