"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"12",0.4,"0",7,0.012280701754386
"12",0.4,"2",34,0.0596491228070175
"12",0.4,"3",1,0.00175438596491228
"12",0.4,"4",73,0.128070175438597
"12",0.4,"5",420,0.736842105263158
"12",0.4,"6",4,0.00701754385964912
"12",0.4,"7",2,0.00350877192982456
"12",0.4,"8",10,0.0175438596491228
"12",0.4,"9",4,0.00701754385964912
"12",0.4,"10",12,0.0210526315789474
"12",0.4,"11",2,0.00350877192982456
"12",0.4,"12",1,0.00175438596491228
"12",0.8,"1",1,0.00175438596491228
"12",0.8,"3",8,0.0140350877192982
"12",0.8,"4",1,0.00175438596491228
"12",0.8,"5",6,0.0105263157894737
"12",0.8,"6",73,0.128070175438597
"12",0.8,"7",420,0.736842105263158
"12",0.8,"8",2,0.00350877192982456
"12",0.8,"9",2,0.00350877192982456
"12",0.8,"10",5,0.0087719298245614
"12",0.8,"11",10,0.0175438596491228
"12",0.8,"12",25,0.043859649122807
"12",0.8,"13",4,0.00701754385964912
"12",0.8,"14",2,0.00350877192982456
"12",0.8,"15",1,0.00175438596491228
"12",0.8,"17",10,0.0175438596491228
"12",1.2,"2",7,0.012280701754386
"12",1.2,"3",1,0.00175438596491228
"12",1.2,"4",7,0.012280701754386
"12",1.2,"6",19,0.0333333333333333
"12",1.2,"8",2,0.00350877192982456
"12",1.2,"10",2,0.00350877192982456
"12",1.2,"11",98,0.171929824561404
"12",1.2,"12",5,0.0087719298245614
"12",1.2,"13",10,0.0175438596491228
"12",1.2,"14",25,0.043859649122807
"12",1.2,"15",4,0.00701754385964912
"12",1.2,"16",321,0.563157894736842
"12",1.2,"17",55,0.0964912280701754
"12",1.2,"18",2,0.00350877192982456
"12",1.2,"19",1,0.00175438596491228
"12",1.2,"20",11,0.0192982456140351
