"round2_cluster","round3_resolution","round3_cluster","n_cells","fraction_of_round2_cluster"
"7",0.4,"3",2,0.00221238938053097
"7",0.4,"4",902,0.997787610619469
"7",0.8,"8",899,0.994469026548673
"7",0.8,"9",1,0.00110619469026549
"7",0.8,"13",4,0.00442477876106195
"7",1.2,"8",1,0.00110619469026549
"7",1.2,"9",735,0.813053097345133
"7",1.2,"14",5,0.00553097345132743
"7",1.2,"16",163,0.180309734513274
