"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",0.809573438546862,0.0285118737437654,0.0583637311099531,0.00223330603737065,0.00148887069158044,0.0413906052259361,0.000446661207474131,0.00610436983547979,0.013772053897119,0.0191319883868086,0.00200997543363359,0.00320107198689794,0.0133998362242239,0.000372217672895109
"1",0.0187210562617007,0.819686668637304,0.047196768154498,0.0033500837520938,0.00610897625381811,0.017932801261208,0.000197063750123165,0.0033500837520938,0.0119223568824515,0.000689723125431077,0.0623706769139817,0.00344861562715538,0.00463099812789437,0.00039412750024633
"2",0.0449415558242644,0.498186215235792,0.1968964127368,0.00120918984280532,0.00544135429262394,0.154574768238613,0,0.00292220878677952,0.0265014107214833,0.000806126561870214,0.044236195082628,0.00806126561870214,0.0160217654171705,0.000201531640467553
"3",0.0634096692111959,0.096793893129771,0.108193384223919,0.00468193384223919,0.0463104325699746,0.606513994910941,0.000305343511450382,0.0291094147582697,0.0224936386768448,0.00254452926208651,0.00407124681933842,0.007735368956743,0.00783715012722646,0
"4",0.0764331210191083,0.0584230177904678,0.739841862508236,0.0237206237645508,0.0185591917417088,0.0155941137711399,0.000439270810454645,0.0229518998462552,0.0108719525587525,0.000549088513068307,0.00406325499670547,0.00461234350977378,0.0229518998462552,0.000988359323522952
"5",0.00282869427472279,0.000678886625933469,0.00135777325186694,0.503960171984612,0.00939126499207966,0.000792034396922381,0.465829373161349,0.00667571848834578,0.000792034396922381,0.00746775288526816,0.000113147770988912,0.000113147770988912,0,0
"6",0.00138969310943833,0.000231615518239722,0.00150550086855819,0.555066589461494,0.00972785176606833,0.000463231036479444,0.423045744064852,0.00486392588303416,0.000463231036479444,0.00277938621887666,0.000231615518239722,0.000231615518239722,0,0
"7",0.00112387612387612,0.0127372627372627,0.110014985014985,0.0452047952047952,0.701423576423576,0.0260989010989011,0.000374625374625375,0.0422077922077922,0.00462037962037962,0.00487012987012987,0,0.00287212787212787,0.0484515484515484,0
"8",0.00163316582914573,0.0195979899497487,0.0435929648241206,0.00917085427135678,0.385678391959799,0.184673366834171,0.000125628140703518,0.284547738693467,0.00351758793969849,0.0187185929648241,0.00778894472361809,0.00540201005025126,0.0355527638190955,0
"9",0.869493670886076,0.0208860759493671,0.0389873417721519,0.000632911392405063,0.000506329113924051,0.0308860759493671,0,0.00164556962025316,0.0210126582278481,0.00721518987341772,0.00265822784810127,0.00455696202531646,0.00139240506329114,0.000126582278481013
"10",0.0118168389955687,0.00590841949778434,0.0236336779911374,0.0409560897005506,0.0730495501544246,0.0239022425137639,0.00349133879414529,0.756814824761649,0.000805693567879683,0.0291392507049819,0.000402846783939842,0.00725124211091715,0.0226937021619444,0.000134282261313281
"11",0.0221898283122773,0.00161969549724652,0.00631681243926142,0.000323939099449304,0.000323939099449304,0.00210560414642047,0.000161969549724652,0.00242954324586978,0.936831875607386,0,0.0275348234531908,0.000161969549724652,0,0
"12",0.000911992704058368,0.00113999088007296,0.000455996352029184,0.000227998176014592,0,0.00136798905608755,0,0.000455996352029184,0.0430916552667579,0,0.951892384860921,0.000455996352029184,0,0
"13",0.029786150712831,0.0117107942973523,0.00127291242362525,0.0206211812627291,0.106924643584521,0.00305498981670061,0.00610997963340122,0.0537169042769857,0,0.766547861507128,0,0.000254582484725051,0,0
"14",0.0914285714285714,0.0182857142857143,0.004,0.004,0.0137142857142857,0.00457142857142857,0.00342857142857143,0.145142857142857,0.000857142857142857,0.712285714285714,0,0.000857142857142857,0.00142857142857143,0
"15",0.000689893066574681,0,0.000689893066574681,0.140393239047948,0,0,0.855467402552604,0.000689893066574681,0,0.00206967919972404,0,0,0,0
"16",0.0713809206137425,0.0873915943962642,0.113408939292862,0.00200133422281521,0.00466977985323549,0.0100066711140761,0,0.0200133422281521,0.00333555703802535,0.00600400266844563,0.0406937958639093,0.635090060040027,0.00600400266844563,0
"17",0.247894103489771,0.109506618531889,0.0818291215403129,0.0036101083032491,0.0577617328519856,0.0373044524669073,0,0.0168471720818291,0.022864019253911,0.00601684717208183,0.0577617328519856,0.00120336943441637,0.00481347773766546,0.352587244283995
"18",0.0197368421052632,0.0526315789473684,0.0131578947368421,0.00328947368421053,0.0197368421052632,0.00328947368421053,0,0.00328947368421053,0,0,0.0164473684210526,0.865131578947368,0.00328947368421053,0
