"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",0.524222704266088,0.0239869731320849,0.060039822331138,0.00276701715550636,0.00187038249321986,0.0525569524529729,0.000580720092915215,0.00838788870703764,0.0259212554294522,0.0402947632486673,0.00471698113207547,0.025934861278649,0.116731517509728,0.0158730158730159
"1",0.0091588334538443,0.521012087430325,0.0366824934905805,0.00313595277624055,0.00579818572898158,0.0172038945079875,0.000193573364305072,0.00347790507364975,0.0169539021998038,0.0010975227343995,0.110587002096436,0.0211097708082027,0.0304798962386511,0.0126984126984127
"2",0.0214991564232345,0.309638629673702,0.149640067391637,0.00110680686220255,0.00505003273169363,0.145004253710181,0,0.00296644844517185,0.036850217178086,0.00125431169645657,0.0766946191474493,0.0482509047044632,0.103112840466926,0.00634920634920635
"3",0.0300313328512895,0.0595603432078662,0.0814060346147955,0.00424275963844309,0.0425512017207519,0.56328575479724,0.000290360046457607,0.0292553191489362,0.0309653916211293,0.00391972405142678,0.00698812019566737,0.04583835946924,0.049935149156939,0
"4",0.0335502530730296,0.0333187198597107,0.5159289324552,0.0199225235196458,0.0158047320677078,0.0134228187919463,0.000387146728610143,0.0213788870703764,0.0138713745271122,0.000783944810285356,0.00646401118099231,0.0253317249698432,0.135538261997406,0.0285714285714286
"5",0.00120510966497951,0.000375775036011774,0.000918976872415378,0.410809813687512,0.00776208734686243,0.000661688250307212,0.39847077042199,0.00603518821603928,0.000980804259492784,0.0103480714957667,0.000174703004891684,0.00060313630880579,0,0
"6",0.000578452639190166,0.000125258345337258,0.000995558278449992,0.442077107544733,0.00785560647152343,0.000378107571604121,0.353561749903213,0.0042962356792144,0.000560459576853019,0.00376293508936971,0.000349406009783368,0.00120627261761158,0,0
"7",0.000433839479392625,0.00638817561220016,0.0674682187164956,0.0333886736764435,0.525296923220799,0.0197561206163153,0.000290360046457607,0.0345744680851064,0.00518425108589043,0.00611476952022578,0,0.0138721351025332,0.251621271076524,0
"8",0.000626657025789347,0.00977015093630613,0.0265737478940113,0.00673307507839882,0.287103712709249,0.138954532564515,9.67866821525358e-05,0.231689852700491,0.00392321703797114,0.0233615553465036,0.0108315863032844,0.025934861278649,0.183527885862516,0
"9",0.331115931549771,0.0103338134903238,0.0235870730586614,0.000461169525917727,0.000374076498643973,0.0230645618678514,0,0.00132978723404255,0.0232590724394003,0.00893697083725306,0.00366876310272537,0.0217129071170084,0.00713359273670558,0.00317460317460317
"10",0.00424198602072789,0.00275568359741968,0.0134783274620922,0.0281313410809814,0.0508744038155803,0.0168257869363834,0.00251645373596593,0.576513911620295,0.000840689365279529,0.0340232047663844,0.000524109014675052,0.0325693606755127,0.109597924773022,0.00317460317460317
"11",0.00660400096408773,0.000626291726686291,0.00298667483534998,0.000184467810367091,0.000187038249321986,0.00122884960771339,9.67866821525358e-05,0.00153436988543372,0.810424548129466,0,0.0296995108315863,0.00060313630880579,0,0
"12",0.000192817546396722,0.000313145863343145,0.00015316281206923,9.22339051835455e-05,0,0.000567161357406182,0,0.000204582651391162,0.0264817150063052,0,0.729385045422781,0.00120627261761158,0,0
"13",0.00563991323210412,0.00288094194275694,0.000382907030173074,0.00747094631986718,0.0392780323576171,0.00113432271481236,0.00232288037166086,0.0215834697217676,0,0.472091564753841,0,0.00060313630880579,0,0
"14",0.0154254037117378,0.00400826705079226,0.00107213968448461,0.00129127467256964,0.00448891798372767,0.00151243028641649,0.00116144018583043,0.0519639934533552,0.000420344682639765,0.390874882408278,0,0.00180940892641737,0.00324254215304799,0
"15",9.64087731983611e-05,0,0.00015316281206923,0.037539199409703,0,0,0.240030971738289,0.000204582651391162,0,0.000940733772342427,0,0,0,0
"16",0.00515786936611232,0.0082044216195904,0.0130188390258845,0.000276701715550636,0.000654633872626952,0.00141790339351546,0,0.00306873977086743,0.000700574471066274,0.00141110065851364,0.0106568832983927,0.574185765983112,0.00583657587548638,0
"17",0.00993010363943119,0.00569925471284524,0.00520753561035381,0.000276701715550636,0.00448891798372767,0.00293033367993194,0,0.00143207855973813,0.00266218299005184,0.000783944810285356,0.00838574423480084,0.00060313630880579,0.00259403372243839,0.93015873015873
"18",0.000289226319595083,0.00100206676269806,0.000306325624138459,9.22339051835455e-05,0.000561114747965959,9.45268929010303e-05,0,0.000102291325695581,0,0,0.000873515024458421,0.158624849215923,0.000648508430609598,0
