"lineage","resolution","object_clusters","marker_clusters","full_rows","top50_raw_rows","top50_friendly_rows","top50_noncycle_rows"
"TNK",0.4,11,11,19807,550,550,550
"TNK",1.2,17,17,26241,850,850,850
