"lineage","resolution","object_clusters","marker_clusters","full_rows","top50_raw_rows","top50_friendly_rows","top50_noncycle_rows"
"Fibroblast",0.4,10,10,23894,500,500,500
"Fibroblast",1.2,19,19,41543,950,950,950
