"resolution","cluster","n_cells","fraction"
0.4,"0",4572,0.239534761879813
0.4,"1",4080,0.213758055220831
0.4,"2",2439,0.127783308010688
0.4,"3",2316,0.121339131345942
0.4,"4",1568,0.0821501545554566
0.4,"5",1376,0.0720909519568293
0.4,"6",964,0.0505055797139414
0.4,"7",787,0.0412322523183319
0.4,"8",772,0.0404463771153141
0.4,"9",213,0.0111594278828522
1.2,"0",2341,0.122648923350972
1.2,"1",2046,0.107193377691623
1.2,"2",1803,0.0944621994027348
1.2,"3",1795,0.0940430659611254
1.2,"4",1532,0.080264054068214
1.2,"5",1341,0.0702572431497878
1.2,"6",1159,0.0607219573531723
1.2,"7",1055,0.0552732226122492
1.2,"8",976,0.0511342798763556
1.2,"9",808,0.0423324776025567
1.2,"10",803,0.0420705192015508
1.2,"11",780,0.0408655105569236
1.2,"12",700,0.0366741761408288
1.2,"13",687,0.0359930842982134
1.2,"14",513,0.0268769319432074
1.2,"15",241,0.0126263949284854
1.2,"16",239,0.012521611568083
1.2,"17",146,0.00764918530937287
1.2,"18",122,0.00639178498454445
