"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"14","InhouseData",15,0.8,"dataset",0.0707547169811321,0.128661087866109,0.549930971007823,FALSE
"15","InhouseData",1,0.8,"dataset",0.00689655172413793,0.128661087866109,0.0536024670591534,FALSE
"16","InhouseData",4,0.8,"dataset",0.0289855072463768,0.128661087866109,0.225285731118181,FALSE
"17","InhouseData",0,0.8,"dataset",0,0.128661087866109,0,FALSE
"0","PRJNA662018",1728,0.8,"dataset",0.91091196626252,0.761963912133891,1.19547914508378,FALSE
"1","PRJNA662018",1801,0.8,"dataset",0.966201716738197,0.761963912133891,1.26804130924303,FALSE
"2","PRJNA662018",1049,0.8,"dataset",0.701672240802676,0.761963912133891,0.920873324351585,FALSE
"3","PRJNA662018",1297,0.8,"dataset",0.877537212449256,0.761963912133891,1.1516781811775,FALSE
"4","PRJNA662018",1029,0.8,"dataset",0.755506607929515,0.761963912133891,0.991525446150997,FALSE
"5","PRJNA662018",1054,0.8,"dataset",0.897021276595745,0.761963912133891,1.1772490301852,FALSE
"6","PRJNA662018",6,0.8,"dataset",0.00575263662511985,0.761963912133891,0.00754974944811953,FALSE
"7","PRJNA662018",786,0.8,"dataset",0.795546558704453,0.761963912133891,1.04407380196854,FALSE
"8","PRJNA662018",720,0.8,"dataset",0.79734219269103,0.761963912133891,1.04643038862308,FALSE
"9","PRJNA662018",820,0.8,"dataset",0.964705882352941,0.761963912133891,1.26607817901936,FALSE
"10","PRJNA662018",193,0.8,"dataset",0.427937915742794,0.761963912133891,0.561624912844425,FALSE
"11","PRJNA662018",384,0.8,"dataset",0.905660377358491,0.761963912133891,1.18858696971905,FALSE
"12","PRJNA662018",0,0.8,"dataset",0,0.761963912133891,0,FALSE
"13","PRJNA662018",258,0.8,"dataset",0.767857142857143,0.761963912133891,1.00773426487712,FALSE
"14","PRJNA662018",177,0.8,"dataset",0.834905660377358,0.761963912133891,1.09572861270974,FALSE
"15","PRJNA662018",132,0.8,"dataset",0.910344827586207,0.761963912133891,1.19473483335552,FALSE
"16","PRJNA662018",108,0.8,"dataset",0.782608695652174,0.761963912133891,1.02709417492026,FALSE
"17","PRJNA662018",113,0.8,"dataset",0.957627118644068,0.761963912133891,1.25678802288972,FALSE
"0","CNP0000460",12,1.2,"dataset",0.00619195046439629,0.0414487447698745,0.149388129816097,FALSE
"1","CNP0000460",11,1.2,"dataset",0.00608070757324489,0.0414487447698745,0.14670426347059,FALSE
"2","CNP0000460",25,1.2,"dataset",0.0175561797752809,0.0414487447698745,0.423563605430121,FALSE
"3","CNP0000460",130,1.2,"dataset",0.10797342192691,0.0414487447698745,2.60498653279814,FALSE
"4","CNP0000460",65,1.2,"dataset",0.0579839429081178,0.0414487447698745,1.39893121565074,FALSE
"5","CNP0000460",72,1.2,"dataset",0.0687679083094556,0.0414487447698745,1.65910713801488,FALSE
"6","CNP0000460",0,1.2,"dataset",0,0.0414487447698745,0,FALSE
"7","CNP0000460",100,1.2,"dataset",0.101317122593718,0.0414487447698745,2.44439543721375,FALSE
"8","CNP0000460",21,1.2,"dataset",0.0235162374020157,0.0414487447698745,0.567357046216454,FALSE
"9","CNP0000460",50,1.2,"dataset",0.067842605156038,0.0414487447698745,1.63678310483716,FALSE
