"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"0",1843,0,6,0,0,0,0,0,45,0,0,0,0,0,1,0,1,0,1,0,0
"1",10,1805,38,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0
"2",0,0,0,0,6,556,2,926,0,0,0,0,1,0,0,0,0,4,0,0,0
"3",81,4,1379,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,8,0,0
"4",0,0,0,1204,0,0,0,2,0,2,0,0,0,0,0,0,0,152,0,0,2
"5",0,0,0,0,1115,2,0,53,0,0,0,0,1,0,0,0,0,0,0,0,4
"6",0,0,0,0,0,1,1036,5,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",0,0,0,0,0,475,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,2,735,0,0,0,0,1,0,165,0,0,0,0
"9",4,0,0,0,0,13,0,0,829,0,0,0,2,0,0,0,1,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,1,1,0,0,0,422,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0
"13",0,0,1,0,0,0,0,0,1,0,0,0,0,0,333,0,1,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
