"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"4","CNP0000460_P02T",1,0.4,"orig.ident",0.000807754442649435
"5","CNP0000460_P02T",0,0.4,"orig.ident",0
"6","CNP0000460_P02T",1,0.4,"orig.ident",0.00102354145342886
"7","CNP0000460_P02T",0,0.4,"orig.ident",0
"8","CNP0000460_P02T",0,0.4,"orig.ident",0
"9","CNP0000460_P02T",0,0.4,"orig.ident",0
"10","CNP0000460_P02T",0,0.4,"orig.ident",0
"0","CNP0000460_P03N",2,0.4,"orig.ident",0.000365363536719035
"1","CNP0000460_P03N",0,0.4,"orig.ident",0
"2","CNP0000460_P03N",0,0.4,"orig.ident",0
"3","CNP0000460_P03N",1,0.4,"orig.ident",0.000734753857457752
"4","CNP0000460_P03N",1,0.4,"orig.ident",0.000807754442649435
"5","CNP0000460_P03N",0,0.4,"orig.ident",0
"6","CNP0000460_P03N",0,0.4,"orig.ident",0
"7","CNP0000460_P03N",11,0.4,"orig.ident",0.024390243902439
"8","CNP0000460_P03N",0,0.4,"orig.ident",0
"9","CNP0000460_P03N",1,0.4,"orig.ident",0.0072463768115942
"10","CNP0000460_P03N",0,0.4,"orig.ident",0
"0","CNP0000460_P03T",1,0.4,"orig.ident",0.000182681768359518
"1","CNP0000460_P03T",0,0.4,"orig.ident",0
"2","CNP0000460_P03T",0,0.4,"orig.ident",0
"3","CNP0000460_P03T",0,0.4,"orig.ident",0
"4","CNP0000460_P03T",1,0.4,"orig.ident",0.000807754442649435
"5","CNP0000460_P03T",1,0.4,"orig.ident",0.0008424599831508
"6","CNP0000460_P03T",1,0.4,"orig.ident",0.00102354145342886
"7","CNP0000460_P03T",10,0.4,"orig.ident",0.0221729490022173
"8","CNP0000460_P03T",0,0.4,"orig.ident",0
"9","CNP0000460_P03T",0,0.4,"orig.ident",0
"10","CNP0000460_P03T",0,0.4,"orig.ident",0
"0","CNP0000460_P04T",1,0.4,"orig.ident",0.000182681768359518
"1","CNP0000460_P04T",30,0.4,"orig.ident",0.0111731843575419
"2","CNP0000460_P04T",0,0.4,"orig.ident",0
"3","CNP0000460_P04T",11,0.4,"orig.ident",0.00808229243203527
"4","CNP0000460_P04T",3,0.4,"orig.ident",0.0024232633279483
"5","CNP0000460_P04T",4,0.4,"orig.ident",0.0033698399326032
"6","CNP0000460_P04T",3,0.4,"orig.ident",0.00307062436028659
"7","CNP0000460_P04T",0,0.4,"orig.ident",0
"8","CNP0000460_P04T",1,0.4,"orig.ident",0.004739336492891
"9","CNP0000460_P04T",1,0.4,"orig.ident",0.0072463768115942
"10","CNP0000460_P04T",0,0.4,"orig.ident",0
"0","CNP0000460_P05N",2,0.4,"orig.ident",0.000365363536719035
"1","CNP0000460_P05N",0,0.4,"orig.ident",0
"2","CNP0000460_P05N",0,0.4,"orig.ident",0
"3","CNP0000460_P05N",0,0.4,"orig.ident",0
"4","CNP0000460_P05N",0,0.4,"orig.ident",0
"5","CNP0000460_P05N",0,0.4,"orig.ident",0
"6","CNP0000460_P05N",0,0.4,"orig.ident",0
"7","CNP0000460_P05N",1,0.4,"orig.ident",0.00221729490022173
"8","CNP0000460_P05N",0,0.4,"orig.ident",0
"9","CNP0000460_P05N",0,0.4,"orig.ident",0
"10","CNP0000460_P05N",0,0.4,"orig.ident",0
"0","CNP0000460_P05T",4,0.4,"orig.ident",0.000730727073438071
"1","CNP0000460_P05T",55,0.4,"orig.ident",0.0204841713221601
"2","CNP0000460_P05T",0,0.4,"orig.ident",0
"3","CNP0000460_P05T",24,0.4,"orig.ident",0.017634092578986
"4","CNP0000460_P05T",5,0.4,"orig.ident",0.00403877221324717
"5","CNP0000460_P05T",8,0.4,"orig.ident",0.0067396798652064
"6","CNP0000460_P05T",5,0.4,"orig.ident",0.00511770726714432
"7","CNP0000460_P05T",0,0.4,"orig.ident",0
"8","CNP0000460_P05T",0,0.4,"orig.ident",0
"9","CNP0000460_P05T",1,0.4,"orig.ident",0.0072463768115942
"10","CNP0000460_P05T",1,0.4,"orig.ident",0.00840336134453781
"0","CNP0000460_P06T",7,0.4,"orig.ident",0.00127877237851662
