"object","resolution","object_clusters","marker_clusters","full_rows","top100_raw_rows","top100_friendly_rows","top100_noncycle_rows"
"Endothelial",0.4,11,11,24575,1100,1100,1100
"Endothelial",0.8,18,18,34875,1800,1800,1800
"Endothelial",1.2,21,21,39601,2100,2100,2100
