"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",0.744483235623477,0.00076219512195122,0.0726287688442211,0.0502394591041412,0.0124986050663988,0.00526444662095984,0,0.000659543595831685,0.0188796038378211,0.00998257011567105,0.0292131036811888,0.00112023898431665,0.00269877517126842,0,0.0326086956521739,0.00288350634371396
"1",0.00303010341874712,0,0.112201633165829,0.0374683068832754,0.789978797009262,0.00208129285014691,0,0,0.0057257814917982,0,0.00101317122593718,0.00224047796863331,0.100477475607224,0,0.154176201372998,0.029123414071511
"2",0.00494038600882682,0,0.0289729899497487,0.000657338717250446,0.013837741323513,0.0019588638589618,0.0510499182698353,0.858593853053687,0.0099040544722996,0.130565678973221,0.000168861870989531,0.000560119492158327,0.00913431596429313,0.000219058050383352,0.420766590389016,0.00288350634371396
"3",0.0172584151241684,7.6219512195122e-05,0.0440483668341709,0.63545872851911,0.0254435888851691,0.0284035259549461,0,0,0.0120705663881151,0.000475360481698621,0.000675447483958122,0.0670276325616131,0.00456715798214656,0,0.365560640732265,0.00865051903114187
"4",0.0197615440353073,0,0.59893216080402,0.0577519015870035,0.0166276085258342,0.0176297747306562,0.000628693574751666,0,0.00340451872485299,0,0.000675447483958122,0.0117625093353249,0.00311397135146357,0,0.0108695652173913,0.0354671280276817
"5",0.00118569264211844,0.299085365853659,0.000235552763819095,0,0,0.00342801175318315,0.00829875518672199,0.000659543595831685,0,0.00269370939629219,0.00439040864572779,0.000560119492158327,0,0.974589266155531,0,0.0862168396770473
"6",0.000790461761412292,0.484603658536585,0.00102072864321608,0.00093905531035778,0.00033478406427854,0.0203232125367287,0,0,0.000154750851129681,0,0.00371496116176967,0.00485436893203883,0.000207598090097571,0.00744797371303395,0.00028604118993135,0.573241061130334
"7",0.000395230880706146,7.6219512195122e-05,0.0646984924623116,0.183397502112874,0.0033478406427854,0.0833741429970617,0,0,0.000464252553389044,0,0.00151975683890578,0.81142643764003,0,0,0,0.0446943483275663
"8",0,0.000304878048780488,0.00109924623115578,0.00046952765517889,0.000223189376185694,0.0237512242899119,0.904564315352697,0.0507848568790397,0.000928505106778087,0.00126762795119632,0.00303951367781155,0.0113890963405527,0,0.0111719605695509,0.00429061784897025,0.000865051903114187
"9",0.155325736117515,0,0.00102072864321608,9.3905531035778e-05,0.000446378752371387,0.000122428991185113,0.000628693574751666,0.0213692125049466,0.00603528319405757,0.839328157185866,0.00101317122593718,0,0.000415196180195142,0.000219058050383352,0.0022883295194508,0.000865051903114187
"10",0.00171266714972663,0.00038109756097561,0.0173523869346734,0.0241337214761949,0.00133913625711416,0.764691478942214,0,0,0.000619003404518725,0.00015845349389954,0.0226274907125971,0.0280059746079164,0.000207598090097571,0,0.00028604118993135,0.112168396770473
"11",0.00144917989592253,7.6219512195122e-05,0.00125628140703518,0.00122077190346511,0.000223189376185694,0.000979431929480901,0,0.000659543595831685,0.923862581244197,0.00190144192679449,0,0.000186706497386109,0.0249117708117085,0,0.0011441647597254,0
"12",0.000197615440353073,0,0.000157035175879397,9.3905531035778e-05,0.000781162816649927,0,0.000251477429900666,0.0299432792507585,0.0160940885174868,0,0,0,0.838281087813992,0,0.0005720823798627,0
"13",0.00480864238192477,0.000990853658536585,0.000628140703517588,0.00234763827589445,0.000111594688092847,0.0203232125367287,0,0.000131908719166337,0.000154750851129681,0.000316906987799081,0.521276595744681,0.0573188946975355,0,0.000219058050383352,0,0.0700692041522491
"14",0.0290494697319017,0.000838414634146341,0.000157035175879397,9.3905531035778e-05,0,0.0217923604309501,0.029422859298378,0.0134546893549664,0.000154750851129681,0.0110917445729678,0.408645727794664,0.000933532486930545,0,0.00525739320920044,0.0005720823798627,0.00259515570934256
"15",0.000131743626902049,0.21265243902439,0,0,0,0.000367286973555338,0,0,0,0,0.000506585612968592,0,0,0.000876232201533406,0.00028604118993135,0.027681660899654
"16",0.0043475396877676,0,0.0113850502512563,0.00460137102075312,0.125544024104453,0.0039177277179236,0,0.000263817438332674,0.000309501702259362,0,0.00118203309692671,0.000560119492158327,0.0105875025949761,0,0.0034324942791762,0.00144175317185698
"17",0.010737105592517,0.000152439024390244,0.0442054020100503,0.00103296084139356,0.00301305657850686,0.00146914789422135,0,0,0.00123800680903745,0.000316906987799081,0.000337723741979061,0.00168035847647498,0.00539755034253685,0,0.00085812356979405,0.000865051903114187
"18",0.000395230880706146,0,0,0,0.00624930253319942,0.000122428991185113,0.00515528731296366,0.023479752011608,0,0.00190144192679449,0,0.000373412994772218,0,0,0.00200228832951945,0.000288350634371396
