"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",0.841360827812105,0.000744435345790218,0.0688602694855952,0.0398272909997767,0.00833767587285044,0.00320107198689794,0,0.000372217672895109,0.00908211121864066,0.00468994267847837,0.0128787314821708,0.000446661207474131,0.000967765949527284,0,0.00848656294200849,0.000744435345790218
"1",0.00453246625283279,0,0.140802049463001,0.0393142181495714,0.697507143560942,0.0016750418760469,0,0,0.00364567937727855,0,0.000591191250369495,0.00118238250073899,0.0476894275298059,0,0.0531086806581929,0.00995171938121982
"2",0.00755743651753325,0,0.0371825876662636,0.000705360741636437,0.0124949617089883,0.00161225312374043,0.0409109230149133,0.655884723901653,0.00644901249496171,0.083031035872632,0.000100765820233777,0.00030229746070133,0.00443369609028618,0.000100765820233777,0.148226521563886,0.00100765820233777
"3",0.0266666666666667,0.000101781170483461,0.0570992366412214,0.688753180661578,0.023206106870229,0.0236132315521628,0,0,0.00793893129770992,0.000305343511450382,0.000407124681933842,0.0365394402035623,0.00223918575063613,0,0.130076335877863,0.00305343511450382
"4",0.0329453107840984,0,0.837689435537009,0.0675378871074017,0.0163628376894355,0.0158137491763672,0.000549088513068307,0,0.00241598945750055,0,0.000439270810454645,0.00691851526466066,0.00164726553920492,0,0.00417307269931913,0.0135075774214803
"5",0.00203665987780041,0.443991853360489,0.000339443312966735,0,0,0.00316813758768952,0.00746775288526816,0.000565738854944558,0,0.0019235121068115,0.0029418420457117,0.000339443312966735,0,0.503394433129667,0,0.0338311835256845
"6",0.00138969310943833,0.736305732484076,0.00150550086855819,0.00115807759119861,0.000347423277359583,0.0192240880138969,0,0,0.000115807759119861,0,0.00254777070063694,0.00301100173711639,0.000115807759119861,0.00393746381007527,0.000115807759119861,0.230225825130284
"7",0.000749250749250749,0.000124875124875125,0.102897102897103,0.243881118881119,0.00374625374625375,0.08503996003996,0,0,0.000374625374625375,0,0.00112387612387612,0.542707292707293,0,0,0,0.0193556443556444
"8",0,0.00050251256281407,0.00175879396984925,0.000628140703517588,0.000251256281407035,0.0243718592964824,0.903768844221105,0.0483668341708543,0.000753768844221105,0.00100502512562814,0.00226130653266332,0.00766331658291457,0,0.0064070351758794,0.00188442211055276,0.000376884422110553
"9",0.298481012658228,0,0.00164556962025316,0.000126582278481013,0.000506329113924051,0.000126582278481013,0.000632911392405063,0.0205063291139241,0.00493670886075949,0.670506329113924,0.000759493670886076,0,0.000253164556962025,0.000126582278481013,0.0010126582278481,0.000379746835443038
"10",0.00349133879414529,0.000671411306566403,0.029676379750235,0.0345105411575131,0.00161138713575937,0.83872700416275,0,0,0.000537129045253122,0.000134282261313281,0.0179938230159796,0.0201423391969921,0.000134282261313281,0,0.000134282261313281,0.0522357996508661
"11",0.00356333009394234,0.000161969549724652,0.00259151279559443,0.00210560414642047,0.000323939099449304,0.00129575639779721,0,0.000809847748623259,0.966958211856171,0.00194363459669582,0,0.000161969549724652,0.0194363459669582,0,0.000647878198898607,0
"12",0.000683994528043776,0,0.000455996352029184,0.000227998176014592,0.00159598723210214,0,0.000455996352029184,0.0517555859553124,0.0237118103055176,0,0,0,0.920656634746922,0,0.000455996352029184,0
"13",0.0185845213849287,0.00330957230142566,0.00203665987780041,0.00636456211812627,0.000254582484725051,0.0422606924643585,0,0.000254582484725051,0.000254582484725051,0.000509164969450102,0.785896130346232,0.0781568228105906,0,0.000254582484725051,0,0.0618635437881874
"14",0.126,0.00314285714285714,0.000571428571428571,0.000285714285714286,0,0.0508571428571429,0.0668571428571429,0.0291428571428571,0.000285714285714286,0.02,0.691428571428571,0.00142857142857143,0,0.00685714285714286,0.000571428571428571,0.00257142857142857
"15",0.000689893066574681,0.96240082787168,0,0,0,0.00103483959986202,0,0,0,0,0.00103483959986202,0,0,0.00137978613314936,0.00034494653328734,0.0331148671955847
"16",0.0440293529019346,0,0.0967311541027352,0.0326884589726484,0.750500333555704,0.0213475650433622,0,0.00133422281521014,0.00133422281521014,0,0.00466977985323549,0.00200133422281521,0.0340226817878586,0,0.00800533689126084,0.00333555703802535
"17",0.196149217809868,0.00240673886883273,0.677496991576414,0.01323706377858,0.0324909747292419,0.0144404332129964,0,0,0.00962695547533093,0.00240673886883273,0.00240673886883273,0.0108303249097473,0.0312876052948255,0,0.0036101083032491,0.0036101083032491
"18",0.0197368421052632,0,0,0,0.184210526315789,0.00328947368421053,0.134868421052632,0.585526315789474,0,0.0394736842105263,0,0.00657894736842105,0,0,0.0230263157894737,0.00328947368421053
