"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11"
"0",0.000857632933104631,0.008147512864494,0,0.404373927958834,0.0433104631217839,0.0536020583190394,0.358061749571184,0.032590051457976,0.097770154373928,0,0,0.00128644939965695
"1",0.00444883835887296,0.8536826495304,0.0103806228373702,0.0212555610479486,0.0380622837370242,0.0350963914977756,0.00395452298566485,0.000988630746416213,0.0291646070192783,0.000988630746416213,0,0.00197726149283243
"2",1,0,0,0,0,0,0,0,0,0,0,0
"3",0.000687757909215956,0.00137551581843191,0.898211829436039,0.030949105914718,0.062585969738652,0,0.00137551581843191,0.000687757909215956,0.00137551581843191,0.00206327372764787,0,0.000687757909215956
"4",0.00287150035893754,0.300071787508973,0.677674084709261,0.0050251256281407,0.0050251256281407,0,0,0,0.00933237616654702,0,0,0
"5",0.000771604938271605,0.00308641975308642,0.00617283950617284,0.614969135802469,0.361882716049383,0.00154320987654321,0.00231481481481481,0.000771604938271605,0.00462962962962963,0,0,0.00385802469135802
"6",0,0.0631494804156675,0.00319744204636291,0.0199840127897682,0.619504396482814,0.00159872102318145,0.008792965627498,0.00239808153477218,0.243005595523581,0,0,0.0383693045563549
"7",1,0,0,0,0,0,0,0,0,0,0,0
"8",0.00343347639484979,0.147639484978541,0,0.0412017167381974,0.00429184549356223,0.735622317596566,0.0506437768240343,0.00686695278969957,0.00858369098712446,0,0,0.00171673819742489
"9",0.0331890331890332,0.00432900432900433,0.00721500721500722,0.103896103896104,0.00288600288600289,0.025974025974026,0.00721500721500722,0.797979797979798,0.0115440115440115,0,0.00144300144300144,0.00432900432900433
"10",0,0,0.00202839756592292,0.00608519269776876,0,0,0,0.00811359026369168,0,0.977687626774848,0.00608519269776876,0
"11",0,0.00309597523219814,0.00309597523219814,0,0,0,0,0.00309597523219814,0,0.0464396284829721,0.944272445820433,0
"15",0,0.0476190476190476,0,0.142857142857143,0.0136054421768707,0.0816326530612245,0.0476190476190476,0.0408163265306122,0.0136054421768707,0,0,0.612244897959184
