"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11"
"0",0.000725689404934688,0.0078125,0,0.470558882235529,0.066056245912361,0.114995400183993,0.897849462365591,0.116030534351145,0.360759493670886,0,0,0.0192307692307692
"1",0.0032656023222061,0.710115131578947,0.00917030567685589,0.0214570858283433,0.0503597122302158,0.0653173873045078,0.00860215053763441,0.00305343511450382,0.0933544303797468,0.00398406374501992,0,0.0256410256410256
"2",0.534833091436865,0,0,0,0,0,0,0,0,0,0,0
"3",0.000362844702467344,0.000822368421052632,0.570305676855895,0.0224550898203593,0.0595160235448005,0,0.0021505376344086,0.00152671755725191,0.00316455696202532,0.00597609561752988,0,0.00641025641025641
"4",0.00145137880986938,0.171875,0.412227074235808,0.00349301397205589,0.00457815565729235,0,0,0,0.0205696202531646,0,0,0
"5",0.000362844702467344,0.00164473684210526,0.00349344978165939,0.397704590818363,0.306736429038587,0.00183992640294388,0.0032258064516129,0.00152671755725191,0.00949367088607595,0,0,0.032051282051282
"6",0,0.0324835526315789,0.00174672489082969,0.0124750499001996,0.506867233485939,0.00183992640294388,0.0118279569892473,0.00458015267175573,0.481012658227848,0,0,0.307692307692308
"7",0.449201741654572,0,0,0,0,0,0,0,0,0,0,0
"8",0.00145137880986938,0.0707236842105263,0,0.0239520958083832,0.00327011118378025,0.788408463661454,0.0634408602150538,0.0122137404580153,0.0158227848101266,0,0,0.0128205128205128
"9",0.00834542815674891,0.00123355263157895,0.00218340611353712,0.0359281437125748,0.0013080444735121,0.0165593376264949,0.00537634408602151,0.844274809160305,0.0126582278481013,0,0.00323624595469256,0.0192307692307692
"10",0,0,0.000436681222707424,0.00149700598802395,0,0,0,0.00610687022900763,0,0.960159362549801,0.00970873786407767,0
"11",0,0.000411184210526316,0.000436681222707424,0,0,0,0,0.00152671755725191,0,0.0298804780876494,0.98705501618123,0
"15",0,0.00287828947368421,0,0.0104790419161677,0.0013080444735121,0.0110395584176633,0.00752688172043011,0.00916030534351145,0.00316455696202532,0,0,0.576923076923077
