"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",2756,"2;7","","","",""
"1",2432,"1;4","","","",""
"2",2290,"3;4","","","",""
"3",2004,"0;5","","","",""
"4",1529,"6;5","","","",""
"5",1087,"8;0","","","",""
"6",930,"0","","","",""
"7",655,"9;0","","","",""
"8",632,"6;0","","","",""
"9",502,"10","","","",""
"10",309,"11","","","",""
"11",156,"15;6","","","",""
