"cluster_round2","n_cells","major_round1_sources","proposed_subtype","confidence","merge_to","notes"
"0",21397,"0;9","","","",""
"1",16001,"1;2","","","",""
"2",15392,"5;6;15","","","",""
"3",12780,"4;2","","","",""
"4",11551,"7;8","","","",""
"5",10172,"3;2;8","","","",""
"6",9196,"10;8","","","",""
"7",6961,"11","","","",""
"8",6087,"13;14","","","",""
"9",5900,"6;5","","","",""
"10",5654,"12;1","","","",""
"11",1681,"16;18","","","",""
"12",1528,"7;8;4","","","",""
"13",446,"17","","","",""
