"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",0.836149780391573,0.0253852452914464,0.00163775776073848,0.047718305665153,0.00208441896821261,0.037445097893248,0.00468994267847837,0.0119109655326435,0.0149631504503834,0.000967765949527284,0.00119109655326435,0.00163775776073848,0.0131020620859078,0.00111665301868533
"1",0.0115282293822051,0.832200216770125,9.85318750615824e-05,0.0534042762833777,0.0067001675041876,0.00995171938121982,0.00275889250172431,0.00955759188097349,0.000197063750123165,0.00384274312740171,0.0599073800374421,0.00344861562715538,0.00532072125332545,0.00108385062567741
"2",0.0714429665457477,0.502619911326078,0,0.172208786779524,0.0047359935509875,0.15981459089077,0.00201531640467553,0.01894397420395,0.00030229746070133,0.00100765820233777,0.0478637646110439,0.0086658605401048,0.010378879484079,0
"3",0.0608651399491094,0.0989312977099237,0.000508905852417303,0.12030534351145,0.0551653944020356,0.591348600508906,0.027175572519084,0.0183206106870229,0.00132315521628499,0.00366412213740458,0.00519083969465649,0.00916030534351145,0.00804071246819338,0
"4",0.0728091368328575,0.0513946848231935,0,0.760158137491764,0.0208653634965957,0.00911486931693389,0.0218537228201186,0.00691851526466066,0.000329453107840984,0.0231715352514825,0.00274544256534153,0.00461234350977378,0.0228420821436416,0.00318471337579618
"5",0.00305498981670061,0.000565738854944558,0.722787961077167,0.0019235121068115,0.00746775288526816,0.00113147770988912,0.00509164969450102,0.000339443312966735,0.00554424077845666,0.251866938221317,0.000113147770988912,0.000113147770988912,0,0
"6",0.000347423277359583,0.000463231036479444,0.721829762594094,0.000579038795599305,0.00706427330631152,0.000347423277359583,0.00220034742327736,0.000347423277359583,0.00115807759119861,0.265547191661841,0.000115807759119861,0,0,0
"7",0.000999000999000999,0.00774225774225774,0.000874125874125874,0.104020979020979,0.741133866133866,0.0141108891108891,0.0305944055944056,0.00212287712287712,0.00237262737262737,0.0395854145854146,0.00024975024975025,0.00437062937062937,0.0518231768231768,0
"8",0.00138190954773869,0.021608040201005,0.00226130653266332,0.0409547738693467,0.417713567839196,0.198618090452261,0.247236180904523,0.00389447236180905,0.010678391959799,0.00816582914572864,0.00891959798994975,0.00376884422110553,0.0347989949748744,0
"9",0.912278481012658,0.0151898734177215,0.000126582278481013,0.0279746835443038,0.000379746835443038,0.0186075949367089,0.00189873417721519,0.0126582278481013,0.00405063291139241,0.000506329113924051,0.00189873417721519,0.00379746835443038,0.000632911392405063,0
"10",0.00872834698536323,0.00523700819121794,0.00698267758829059,0.022022290855378,0.0895662682959581,0.0228279844232577,0.747549348731033,0.00120854035181952,0.0267221700013428,0.041627501007117,0.000402846783939842,0.00161138713575937,0.0255136296495233,0
"11",0.0158730158730159,0.000647878198898607,0.000485908649173955,0.00161969549724652,0,0.00145772594752187,0.00129575639779721,0.957078069322967,0,0,0.0210560414642047,0.000323939099449304,0,0.000161969549724652
"12",0.000455996352029184,0.000683994528043776,0,0.000911992704058368,0,0.000455996352029184,0.000227998176014592,0.0433196534427725,0,0.000227998176014592,0.953032375740994,0.000227998176014592,0.000227998176014592,0.000227998176014592
"13",0.0218940936863544,0.0160386965376782,0.0129837067209776,0.0010183299389002,0.117871690427699,0.00203665987780041,0.0437881873727088,0,0.771130346232179,0.0129837067209776,0,0.000254582484725051,0,0
"14",0.0774285714285714,0.0254285714285714,0.00771428571428571,0.00485714285714286,0.0245714285714286,0.006,0.152857142857143,0.000857142857142857,0.695714285714286,0.00285714285714286,0,0,0.00171428571428571,0
"15",0.000689893066574681,0,0.891341842014488,0.00034494653328734,0,0,0.00034494653328734,0,0.00034494653328734,0.106588478785788,0,0.00034494653328734,0,0
"16",0.0673782521681121,0.076050700466978,0,0.0840560373582388,0.00600400266844563,0.00533689126084056,0.0213475650433622,0.00200133422281521,0.00333555703802535,0.00133422281521014,0.0400266844563042,0.685123415610407,0.00733822548365577,0.00066711140760507
"17",0.228640192539109,0.114320096269555,0,0.0637785800240674,0.0685920577617329,0.0180505415162455,0.0072202166064982,0.00481347773766546,0.00120336943441637,0.00240673886883273,0.0168471720818291,0.0036101083032491,0.0036101083032491,0.46690734055355
"18",0.0230263157894737,0.0526315789473684,0,0.00986842105263158,0.0131578947368421,0.00657894736842105,0.0164473684210526,0.00328947368421053,0,0.00328947368421053,0.00657894736842105,0.865131578947368,0,0
