"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",0.524933401878768,0.0213111680519967,0.00142931392931393,0.0501564945226917,0.00242403255129426,0.0494494691309477,0.00685080469769465,0.0229852032753915,0.0330211927057664,0.00220338983050847,0.00282985496993279,0.0130874479476502,0.115183246073298,0.0336322869955157
"1",0.0054680562695705,0.527842009874383,6.4968814968815e-05,0.0424100156494523,0.00588693619600035,0.00992921745969328,0.00304480208786429,0.0139347794857061,0.000328569081649417,0.00661016949152542,0.107534488857446,0.0208209399167162,0.0353403141361257,0.0246636771300448
"2",0.0331354862831238,0.311730516842697,0,0.133724569640063,0.00406891178252965,0.155918206842312,0.00217485863418878,0.027007613848585,0.000492853622474125,0.00169491525423729,0.0840113194198797,0.0511600237953599,0.0674083769633508,0
"3",0.0279478431555826,0.0607462033622899,0.000324844074844075,0.0924882629107981,0.0469223443857675,0.571175776641762,0.0290343627664202,0.0258583536848154,0.00213569903072121,0.00610169491525424,0.00902016271666077,0.0535395597858418,0.0517015706806283,0
"4",0.0309856521942328,0.0292481719892507,0,0.541627543035994,0.0164487923123539,0.00815965395202517,0.0216398434101783,0.00905042378968539,0.000492853622474125,0.0357627118644068,0.00442164839051999,0.0249851279000595,0.136125654450262,0.0650224215246637
"5",0.00126185913913165,0.000312480469970627,0.41502079002079,0.0013302034428795,0.00571379101376504,0.000983090837593394,0.00489343192692475,0.00043097256141359,0.00804994250041071,0.37728813559322,0.000176865935620799,0.000594883997620464,0,0
"6",0.000140206571014628,0.000249984375976501,0.404950623700624,0.000391236306729264,0.00528092805817678,0.000294927251278018,0.00206611570247934,0.00043097256141359,0.00164284540824708,0.38864406779661,0.000176865935620799,0,0,0
"7",0.000373884189372342,0.00387475782763577,0.000454781704781705,0.0651799687010955,0.513808328283266,0.0111089264648053,0.0266420182688125,0.00244217784801034,0.00312140627566946,0.053728813559322,0.000353731871241599,0.0208209399167162,0.271596858638743,0
"8",0.00051409076038697,0.0107493281669896,0.00116943866943867,0.025508607198748,0.287853865466193,0.155426661423516,0.214006089604176,0.0044533831346071,0.0139641859701002,0.0110169491525424,0.0125574814290768,0.0178465199286139,0.181282722513089,0
"9",0.336822919100809,0.00749953127929504,6.4968814968815e-05,0.0172926447574335,0.000259717773352956,0.0144514353126229,0.00163114397564158,0.0143657520471197,0.00525710530639067,0.000677966101694915,0.00265298903431199,0.0178465199286139,0.00327225130890052,0
"10",0.00303780903865028,0.00243734766577089,0.00337837837837838,0.0128325508607199,0.057743918275474,0.0167125442390877,0.605371900826446,0.00129291768424077,0.032692623624117,0.0525423728813559,0.000530597806862398,0.00713860797144557,0.12434554973822,0
"11",0.00458008131981119,0.000249984375976501,0.000194906444906445,0.000782472613458529,0,0.000884781753834054,0.000869943453675511,0.848872288464301,0,0,0.0229925716307039,0.00118976799524093,0,0.00224215246636771
"12",9.34710473430855e-05,0.000187488281982376,0,0.000312989045383412,0,0.000196618167518679,0.000108742931709439,0.0272949288895274,0,0.000169491525423729,0.739299610894942,0.000594883997620464,0.000654450261780105,0.00224215246636771
"13",0.00401925503575268,0.0039372539216299,0.00331340956340956,0.000312989045383412,0.0400831096874729,0.000786472670074715,0.0187037842540235,0,0.497617874158042,0.00864406779661017,0,0.000594883997620464,0,0
"14",0.0126653269149881,0.00556215236547716,0.001754158004158,0.0013302034428795,0.00744524283611808,0.00206449075894613,0.0581774684645498,0.00043097256141359,0.400032856908165,0.00169491525423729,0,0,0.00392670157068063,0
"15",9.34710473430855e-05,0,0.167879417879418,7.82472613458529e-05,0,0,0.000108742931709439,0,0.000164284540824708,0.0523728813559322,0,0.000594883997620464,0,0
"16",0.00472028789082582,0.00712455471533029,0,0.00985915492957747,0.000779153320058869,0.000786472670074715,0.00347977381470204,0.00043097256141359,0.000821422704123542,0.000338983050847458,0.010611956137248,0.610945865556217,0.00719895287958115,0.00224215246636771
"17",0.00887974949759312,0.00593712892944191,0,0.0041471048513302,0.00493463769370617,0.00147463625639009,0.000652457590256633,0.000574630081884787,0.000164284540824708,0.000338983050847458,0.00247612309869119,0.00178465199286139,0.00196335078534031,0.869955156950673
"18",0.000327148665700799,0.000999937503906006,0,0.000234741784037559,0.000346290364470609,0.000196618167518679,0.000543714658547194,0.000143657520471197,0,0.000169491525423729,0.000353731871241599,0.156454491374182,0,0
