"cluster","group","proportion_within_cluster"
"4","CNP0000460_P07N",0.0105618561163536
"5","CNP0000460_P07N",0.00255603617774282
"6","CNP0000460_P07N",0.0147890387124837
"7","CNP0000460_P07N",0.0106306565148686
"8","CNP0000460_P07N",0.00164284540824708
"9","CNP0000460_P07N",0.00644067796610169
"0","CNP0000460_P07T",0.000701032855073141
"1","CNP0000460_P07T",0.00356227735766515
"10","CNP0000460_P07T",0.00672090555359038
"11","CNP0000460_P07T",0.00118976799524093
"12","CNP0000460_P07T",0.00523560209424084
"2","CNP0000460_P07T",0.0123440748440748
"3","CNP0000460_P07T",0.00579029733959311
"4","CNP0000460_P07T",0.00432862955588261
"5","CNP0000460_P07T",0.000688163586315376
"6","CNP0000460_P07T",0.00521966072205307
"7","CNP0000460_P07T",0.00790116362591582
"8","CNP0000460_P07T",0.00213569903072121
"9","CNP0000460_P07T",0.0123728813559322
"0","GSE326225_BC1",0.000186942094686171
"13","GSE326225_BC1",0.0134529147982063
"2","GSE326225_BC1",6.4968814968815e-05
"3","GSE326225_BC1",0.000234741784037559
"6","GSE326225_BC1",0.000108742931709439
"7","GSE326225_BC1",0.00086194512282718
"9","GSE326225_BC1",0.000508474576271186
"0","GSE326225_BC2",0.000186942094686171
"10","GSE326225_BC2",0.000176865935620799
"13","GSE326225_BC2",0.00896860986547085
"3","GSE326225_BC2",0.000704225352112676
"6","GSE326225_BC2",0.000108742931709439
"7","GSE326225_BC2",0.00158023272518316
"9","GSE326225_BC2",0.000338983050847458
"0","GSE326225_BC3",0.000140206571014628
"1","GSE326225_BC3",0.000437472657958878
"10","GSE326225_BC3",0.000884329678103997
"12","GSE326225_BC3",0.000654450261780105
"13","GSE326225_BC3",0.0134529147982063
"2","GSE326225_BC3",0.00110446985446985
"3","GSE326225_BC3",0.00555555555555556
"4","GSE326225_BC3",0.00103887109341183
"5","GSE326225_BC3",0.000196618167518679
"6","GSE326225_BC3",0.00119617224880383
"7","GSE326225_BC3",0.00129291768424077
"9","GSE326225_BC3",0.0023728813559322
"0","GSE326225_BC4",0.0297705285787727
"1","GSE326225_BC4",0.0176863946003375
"10","GSE326225_BC4",0.0152104704633888
