"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"0",0.000718156296924985,0.00995850622406639,0.0365243689659183,0.65996945129832,0.0253757083025376,0.00375892745270016,0.268508725542041,0.000682500682500683,0.0285487708168121,0.69376026272578,0.0142424781912053,0.000845487212005918,0.00406939387449133,0.00735468564650059,0.0917713406818764,0.000431406384814495,0.0536036036036036,0,0,0.0278619018776499,0.0136540962288687,0,0.0190713101160862,0,0.00566037735849057,0.00954653937947494,0.00719424460431655,0.0346820809248555,0
"1",0.000652869360840896,0.597302904564315,0.157380481563336,0.00610974033603572,0.0514905149051491,0.0345821325648415,0.075753569539926,0.00505050505050505,0.00317208564631245,0.0177339901477833,0.00712123909560263,0.105474529697738,0.00920968087384879,0.000237247924080664,0.150986926429121,0.0163934426229508,0.0193693693693694,0,0,0.11992731677771,0.0565669700910273,0.00323362974939369,0,0,0.00188679245283019,0,0.00239808153477218,0,0
"2",0.000391721616504537,0.231120331950207,0.304059555658951,0.0232640112795206,0.0565410199556541,0.0666583134945496,0.0799841353781068,0.00668850668850669,0.00269627279936558,0.00246305418719212,0.00890154886950329,0.0528429507503699,0.0167059327479118,0.000474495848161329,0.0948474750064086,0.462467644521139,0.17972972972973,0.00831485587583148,0,0.000605693519079346,0.163198959687906,0.29749393694422,0.130182421227197,0,0.333962264150943,0.00477326968973747,0.0167865707434053,0.0115606936416185,0
"3",0.00117516484951361,0.0229253112033195,0.193090613004536,0.0727294090001175,0.331239221483124,0.325648414985591,0.109730301427816,0.046956046956047,0.00253766851704996,0.00525451559934319,0.010859889620794,0.00655252589304587,0.0276290426215464,0.0102016607354686,0.0940784414252756,0.0163934426229508,0.013963963963964,0.000554323725055432,0,0.0242277407631738,0.0331599479843953,0,0.00165837479270315,0,0.00566037735849057,0,0,0,0
"4",0.00365606842070902,0.0867219917012448,0.0510643247644527,0.0115145106332981,0.270633160877063,0.0724220022553565,0.303146483342147,0.0397215397215397,0.00412371134020619,0.148932676518883,0.00623108420865231,0.00591841048404143,0.0477618333690298,0.00569395017793594,0.0333247885157652,0.0185504745470233,0.0554054054054054,0.00554323725055432,0.000599161174355902,0.163537250151423,0.308842652795839,0.00242522231204527,0.00995024875621891,0.00230149597238205,0.00377358490566038,0.00954653937947494,0,0,0
"5",0.319775412939871,0.00020746887966805,0.0004652785855531,0.000587475032311127,0.000246366100024637,0.00275654679864679,0,0.00955500955500956,0.00729579698651864,0,0.000356061954780132,0,0.00599700149925037,0.0099644128113879,0.000769033581133043,0.00862812769628991,0.0027027027027027,0.716186252771619,0.886758538046735,0.00423985463355542,0.0741222366710013,0.00404203718674212,0.00165837479270315,0.896432681242808,0.0132075471698113,0.00238663484486874,0.00239808153477218,0,0
"6",0.49840047006594,0.00020746887966805,0.000581598231941375,0.000822465045235578,0.000492732200049273,0.00263124921689011,0.000528820729772607,0.0135135135135135,0.00396510705789056,0.00295566502463054,0,0,0.0023559648747055,0.0787663107947805,0.00333247885157652,0.000431406384814495,0.00045045045045045,0.00498891352549889,0.0107849011384062,0.252574197456087,0.00715214564369311,0.000808407437348424,0,0.00230149597238205,0,0,0,0,0
"7",0.00430893778154991,0.0100622406639004,0.00535070373386065,0.000822465045235578,0.170854890367085,0.118907405087082,0.0567160232681121,0.542042042042042,0.00729579698651864,0.00229885057471264,0.00249243368346092,0.000845487212005918,0.0938102377382737,0.00925266903914591,0.0364009228402974,0.00776531492666091,0,0,0,0.176862507571169,0.0312093628088427,0.000808407437348424,0,0,0,0,0,0,0
"8",0.00417836390938173,0.0102697095435685,0.0148889147376992,0,0.0391722099039172,0.24094724971808,0.0115018508725542,0.203521703521704,0.0125297383029342,0,0.00427274345736158,0.0173324878461213,0.300920968087385,0.147805456702254,0.0115355037169956,0.399913718723037,0,0.114190687361419,0.0149790293588975,0.0109024833434282,0.093628088426528,0.21018593371059,0.00248756218905473,0.00230149597238205,0.0132075471698113,0,0,0,0
"9",0,0.0133817427385892,0.189601023612888,0.187404535307249,0.0150283321015028,0.00137827339932339,0.0314648334214701,0.000955500955500955,0.0114195083267248,0.0679802955665025,0.00907957984689336,0.00147960262101036,0.000642535874919683,0.000474495848161329,0.0738272237887721,0.00647109577221743,0.627477477477478,0.000554323725055432,0,0,0.0227568270481144,0.00404203718674212,0.825041459369818,0,0.547169811320755,0.0715990453460621,0.966426858513189,0.942196531791908,0.00884955752212389
