"cluster","n_cells","n_specimens","n_datasets","max_specimen","top_specimen","max_dataset","top_dataset","warning_single_specimen_gt50","warning_single_dataset_gt70","warning_very_small","warning_very_few_specimens","warning_dataset_specific_island"
"0",15317,57,5,0.111640660703793,"T4398343",0.344715022523993,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"1",9640,54,5,0.100414937759336,"HRA003620_BC-30",0.340248962655602,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"2",8597,47,5,0.299290450157032,"T4471438",0.519134581830871,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"3",8511,36,5,0.24180472329926,"HRA003620_BC-11",0.541064504758548,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"4",8118,51,5,0.312884947031288,"HRA003620_NC-27",0.526237989652624,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"5",7981,52,5,0.131061270517479,"HRA003620_BC-01",0.342814183686255,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"6",7564,54,5,0.319011105235325,"HRA003620_BC-24",0.54362771020624,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"7",7326,53,5,0.175539175539176,"HRA003620_NC-30",0.32009282009282,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"8",6305,50,5,0.139571768437748,"T4295396",0.49310071371927,"InhouseData",FALSE,FALSE,FALSE,FALSE,FALSE
"9",6090,41,5,0.263875205254516,"HRA003620_BC-11",0.498357963875205,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"10",5617,56,5,0.110201175004451,"T4398343",0.325796688623821,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"11",4731,53,5,0.145001056859015,"T4471438",0.358063834284506,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"12",4669,57,5,0.15463696723067,"T4465935",0.335403726708075,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"13",4215,54,5,0.208778173190985,"HRA003620_NC-11",0.536417556346382,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"14",3901,38,5,0.215329402717252,"HRA003620_NC-05",0.296846962317355,"HRA003620",FALSE,FALSE,FALSE,FALSE,FALSE
"15",2318,31,5,0.901207937877481,"T4450398",0.916307161345988,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"16",2220,21,5,0.86981981981982,"T4450398",0.872972972972973,"InhouseData",TRUE,TRUE,FALSE,FALSE,FALSE
"17",1804,19,4,0.425166297117517,"T4471438",0.99390243902439,"InhouseData",FALSE,TRUE,FALSE,FALSE,TRUE
"18",1669,12,5,0.958657878969443,"T4463209a",0.983822648292391,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"19",1651,29,5,0.864930345245306,"CNP0000460_P02T",0.869775893397941,"CNP0000460",TRUE,TRUE,FALSE,FALSE,FALSE
"20",1538,44,5,0.59297789336801,"T4465219",0.609882964889467,"InhouseData",TRUE,FALSE,FALSE,FALSE,FALSE
"21",1237,13,5,0.975747776879547,"T4463209a",0.987065481002425,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"22",1206,11,4,0.975124378109453,"T4463209a",0.979270315091211,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"23",869,8,3,0.98849252013809,"T4450398",0.996547756041427,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"24",530,9,3,0.975471698113208,"T8009218",0.984905660377358,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"25",419,7,4,0.976133651551313,"T4465219",0.976133651551313,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"26",417,5,2,0.980815347721823,"T4380845",0.990407673860911,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"27",173,9,3,0.838150289017341,"T4465935",0.965317919075145,"InhouseData",TRUE,TRUE,FALSE,FALSE,TRUE
"28",113,1,1,1,"T4450398",1,"InhouseData",TRUE,TRUE,FALSE,TRUE,TRUE
