"lineage","resolution","object_clusters","marker_clusters","full_rows","top50_raw_rows","top50_friendly_rows","top50_noncycle_rows"
"Mural",0.4,10,10,17528,500,500,500
"Mural",1.2,13,13,21362,650,650,650
