"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_round3"
1,8.18018997494562,15.3698952430162,15.3698952430162,TRUE
2,6.19538412417291,8.81618317595566,24.1860784189718,TRUE
3,5.63055454813902,7.28192947364587,31.4680078926177,TRUE
4,5.04560751081008,5.84751112748113,37.3155190200988,TRUE
5,4.83357852029275,5.36638323263531,42.6819022527341,TRUE
6,4.68830187476443,5.04864999124322,47.7305522439774,TRUE
7,4.28899283613746,4.22527295310879,51.9558251970862,TRUE
8,3.57096002268062,2.92896447667243,54.8847896737586,TRUE
9,3.53400269208646,2.86865208842004,57.7534417621786,TRUE
10,3.43163969059856,2.70487682233389,60.4583185845125,TRUE
11,3.18575947858447,2.33114933630934,62.7894679208219,TRUE
12,2.97787656804059,2.03684280303824,64.8263107238601,TRUE
13,2.89416727663457,1.9239393867284,66.7502501105885,TRUE
14,2.7969929675556,1.79691228084227,68.5471623914308,TRUE
15,2.6731573835554,1.64131971311461,70.1884821045454,TRUE
16,2.63960302762505,1.60037354492079,71.7888556494662,TRUE
17,2.53103151705821,1.47142873936842,73.2602843888346,TRUE
18,2.41233114878185,1.33665084483058,74.5969352336652,TRUE
19,2.39250239207852,1.31476728561284,75.911702519278,TRUE
20,2.29242183500775,1.20707206923931,77.1187745885173,TRUE
21,2.26878480450549,1.18230829754534,78.3010828860627,TRUE
22,2.22606906890744,1.13820738306549,79.4392902691282,TRUE
23,2.16288911684864,1.07451538646037,80.5138056555885,TRUE
24,2.13897201613592,1.05088292016132,81.5646885757498,FALSE
25,2.0665371316228,0.980913144414354,82.5456017201642,FALSE
26,2.04715082796749,0.962595463711638,83.5081971838758,FALSE
27,2.03604834774582,0.95218273146207,84.4603799153379,FALSE
28,1.99765187614197,0.916608210191839,85.3769881255297,FALSE
29,1.97059117930219,0.89194319605051,86.2689313215803,FALSE
30,1.93378245897589,0.858933143246333,87.1278644648266,FALSE
31,1.89261315105609,0.822749893992245,87.9506143588188,FALSE
32,1.85109356253615,0.787047364463551,88.7376617232824,FALSE
33,1.82675405907345,0.766486111604576,89.504147834887,FALSE
34,1.78054798632407,0.728201372352012,90.232349207239,FALSE
35,1.77485741842275,0.723554199075448,90.9559034063144,FALSE
36,1.74949200802873,0.703020604547594,91.658924010862,FALSE
37,1.72311185289464,0.681979103554785,92.3409031144168,FALSE
38,1.70941985922505,0.671184035715847,93.0120871501326,FALSE
39,1.67255910356842,0.642550217471174,93.6546373676038,FALSE
40,1.66256814066418,0.634896650574504,94.2895340181783,FALSE
41,1.6556681631554,0.629637699704401,94.9191717178827,FALSE
42,1.63135025895867,0.611277711017995,95.5304494289007,FALSE
43,1.60520858965816,0.591843766776119,96.1222931956768,FALSE
44,1.60283278207288,0.590093132799901,96.7123863284767,FALSE
45,1.57640634797355,0.570795417816984,97.2831817462937,FALSE
46,1.55767089187985,0.557308332851213,97.8404900791449,FALSE
47,1.54713301143639,0.549793288106652,98.3902833672516,FALSE
48,1.54080916036217,0.545307952741639,98.9355913199932,FALSE
49,1.52397142747475,0.533454984199358,99.4690463041926,FALSE
50,1.52039439566831,0.530953695807428,100,FALSE
