"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"13","GSE326225",10,1.2,"dataset",0.0176991150442478,0.0367827868852459,0.481179283654202,FALSE
"14","GSE326225",17,1.2,"dataset",0.033596837944664,0.0367827868852459,0.913384786462175,FALSE
"15","GSE326225",1,1.2,"dataset",0.00205761316872428,0.0367827868852459,0.0559395669268774,FALSE
"16","GSE326225",36,1.2,"dataset",0.0772532188841202,0.0367827868852459,2.10025464152928,FALSE
"17","GSE326225",31,1.2,"dataset",0.111111111111111,0.0367827868852459,3.02073661405138,TRUE
"18","GSE326225",37,1.2,"dataset",0.154166666666667,0.0367827868852459,4.19127205199629,TRUE
"19","GSE326225",15,1.2,"dataset",0.0735294117647059,0.0367827868852459,1.99901687694576,FALSE
"20","GSE326225",16,1.2,"dataset",0.103225806451613,0.0367827868852459,2.80636175757031,FALSE
"0","HRA003620",1959,1.2,"dataset",0.921015514809591,0.394518442622951,2.33453095040686,FALSE
"1","HRA003620",1746,1.2,"dataset",0.91270256142185,0.394518442622951,2.31345981027847,FALSE
"2","HRA003620",8,1.2,"dataset",0.00418410041841004,0.394518442622951,0.0106055889062932,FALSE
"3","HRA003620",2,1.2,"dataset",0.00105876124933827,0.394518442622951,0.00268367998793444,FALSE
"4","HRA003620",844,1.2,"dataset",0.547341115434501,0.394518442622951,1.38736509197266,FALSE
"5","HRA003620",746,1.2,"dataset",0.509215017064846,0.394518442622951,1.2907255074803,FALSE
"6","HRA003620",342,1.2,"dataset",0.312043795620438,0.394518442622951,0.790948563889229,FALSE
"7","HRA003620",764,1.2,"dataset",0.841409691629956,0.394518442622951,2.13275122459638,FALSE
"8","HRA003620",614,1.2,"dataset",0.701714285714286,0.394518442622951,1.77866028530618,FALSE
"9","HRA003620",557,1.2,"dataset",0.718709677419355,0.394518442622951,1.82173911222254,FALSE
"10","HRA003620",7,1.2,"dataset",0.00919842312746386,0.394518442622951,0.0233155719319692,FALSE
"11","HRA003620",3,1.2,"dataset",0.00428571428571429,0.394518442622951,0.0108631532083032,FALSE
"12","HRA003620",13,1.2,"dataset",0.0198170731707317,0.394518442622951,0.0502310437985564,FALSE
"13","HRA003620",0,1.2,"dataset",0,0.394518442622951,0,FALSE
"14","HRA003620",9,1.2,"dataset",0.0177865612648221,0.394518442622951,0.0450842326826812,FALSE
"15","HRA003620",72,1.2,"dataset",0.148148148148148,0.394518442622951,0.375516407200604,FALSE
"16","HRA003620",0,1.2,"dataset",0,0.394518442622951,0,FALSE
"17","HRA003620",4,1.2,"dataset",0.014336917562724,0.394518442622951,0.0363402974710262,FALSE
"18","HRA003620",9,1.2,"dataset",0.0375,0.394518442622951,0.0950525905726529,FALSE
"19","HRA003620",1,1.2,"dataset",0.00490196078431373,0.394518442622951,0.0124251752382553,FALSE
"20","HRA003620",1,1.2,"dataset",0.00645161290322581,0.394518442622951,0.0163531338619618,FALSE
"0","InhouseData",12,1.2,"dataset",0.00564174894217207,0.155379098360656,0.0363095744646221,FALSE
"1","InhouseData",0,1.2,"dataset",0,0.155379098360656,0,FALSE
"2","InhouseData",304,1.2,"dataset",0.158995815899582,0.155379098360656,1.02327673140779,FALSE
"3","InhouseData",358,1.2,"dataset",0.189518263631551,0.155379098360656,1.21971530039165,FALSE
"4","InhouseData",8,1.2,"dataset",0.00518806744487678,0.155379098360656,0.033389738385755,FALSE
"5","InhouseData",3,1.2,"dataset",0.00204778156996587,0.155379098360656,0.0131792602194968,FALSE
"6","InhouseData",156,1.2,"dataset",0.142335766423358,0.155379098360656,0.916054784234732,FALSE
"7","InhouseData",23,1.2,"dataset",0.0253303964757709,0.155379098360656,0.163023191298071,FALSE
"8","InhouseData",2,1.2,"dataset",0.00228571428571429,0.155379098360656,0.0147105647402383,FALSE
"9","InhouseData",32,1.2,"dataset",0.0412903225806452,0.155379098360656,0.265739234017209,FALSE
"10","InhouseData",305,1.2,"dataset",0.400788436268068,0.155379098360656,2.57942310450138,FALSE
"11","InhouseData",207,1.2,"dataset",0.295714285714286,0.155379098360656,1.90317931326833,FALSE
"12","InhouseData",360,1.2,"dataset",0.548780487804878,0.155379098360656,3.53188101613954,FALSE
"13","InhouseData",555,1.2,"dataset",0.982300884955752,0.155379098360656,6.32196283360906,FALSE
"14","InhouseData",51,1.2,"dataset",0.100790513833992,0.155379098360656,0.648674853293612,FALSE
"15","InhouseData",43,1.2,"dataset",0.088477366255144,0.155379098360656,0.569429010649658,FALSE
"16","InhouseData",352,1.2,"dataset",0.755364806866953,0.155379098360656,4.86143126608735,FALSE
"17","InhouseData",133,1.2,"dataset",0.476702508960573,0.155379098360656,3.06799636495562,FALSE
"18","InhouseData",47,1.2,"dataset",0.195833333333333,0.155379098360656,1.26035828112979,FALSE
"19","InhouseData",38,1.2,"dataset",0.186274509803922,0.155379098360656,1.19883891571795,FALSE
"20","InhouseData",44,1.2,"dataset",0.283870967741935,0.155379098360656,1.82695723386831,FALSE
"0","PRJNA662018",56,1.2,"dataset",0.0263281617301363,0.338831967213115,0.0777027089465167,FALSE
"1","PRJNA662018",59,1.2,"dataset",0.0308416100365917,0.338831967213115,0.0910233184025205,FALSE
"2","PRJNA662018",1218,1.2,"dataset",0.637029288702929,0.338831967213115,1.88007434464487,FALSE
"3","PRJNA662018",1331,1.2,"dataset",0.704605611434622,0.338831967213115,2.07951338603021,FALSE
