"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",335,0.4,"dataset",0.0710649130250318
"1","CNP0000460",247,0.4,"dataset",0.0585863377609108
"2","CNP0000460",329,0.4,"dataset",0.134285714285714
"3","CNP0000460",110,0.4,"dataset",0.0582010582010582
"4","CNP0000460",149,0.4,"dataset",0.10828488372093
"5","CNP0000460",52,0.4,"dataset",0.0448275862068966
"6","CNP0000460",36,0.4,"dataset",0.0315789473684211
"7","CNP0000460",27,0.4,"dataset",0.0393013100436681
"8","CNP0000460",0,0.4,"dataset",0
"9","CNP0000460",80,0.4,"dataset",0.170940170940171
"10","CNP0000460",47,0.4,"dataset",0.113801452784504
"11","CNP0000460",20,0.4,"dataset",0.0840336134453782
"12","CNP0000460",22,0.4,"dataset",0.108910891089109
"0","GSE326225",46,0.4,"dataset",0.00975816716164616
"1","GSE326225",0,0.4,"dataset",0
"2","GSE326225",123,0.4,"dataset",0.0502040816326531
"3","GSE326225",88,0.4,"dataset",0.0465608465608466
"4","GSE326225",113,0.4,"dataset",0.0821220930232558
"5","GSE326225",121,0.4,"dataset",0.104310344827586
"6","GSE326225",100,0.4,"dataset",0.087719298245614
"7","GSE326225",0,0.4,"dataset",0
"8","GSE326225",10,0.4,"dataset",0.0176678445229682
"9","GSE326225",1,0.4,"dataset",0.00213675213675214
"10","GSE326225",64,0.4,"dataset",0.154963680387409
"11","GSE326225",37,0.4,"dataset",0.15546218487395
"12","GSE326225",15,0.4,"dataset",0.0742574257425743
"0","HRA003620",2996,0.4,"dataset",0.635553669919389
"1","HRA003620",3781,0.4,"dataset",0.896821631878558
"2","HRA003620",17,0.4,"dataset",0.00693877551020408
"3","HRA003620",2,0.4,"dataset",0.00105820105820106
"4","HRA003620",341,0.4,"dataset",0.24781976744186
"5","HRA003620",3,0.4,"dataset",0.00258620689655172
"6","HRA003620",11,0.4,"dataset",0.00964912280701754
"7","HRA003620",456,0.4,"dataset",0.663755458515284
"8","HRA003620",0,0.4,"dataset",0
"9","HRA003620",74,0.4,"dataset",0.158119658119658
"10","HRA003620",10,0.4,"dataset",0.0242130750605327
"11","HRA003620",9,0.4,"dataset",0.0378151260504202
"12","HRA003620",1,0.4,"dataset",0.00495049504950495
"0","InhouseData",46,0.4,"dataset",0.00975816716164616
"1","InhouseData",32,0.4,"dataset",0.00759013282732448
"2","InhouseData",370,0.4,"dataset",0.151020408163265
"3","InhouseData",358,0.4,"dataset",0.189417989417989
"4","InhouseData",290,0.4,"dataset",0.210755813953488
"5","InhouseData",557,0.4,"dataset",0.480172413793103
"6","InhouseData",536,0.4,"dataset",0.470175438596491
"7","InhouseData",2,0.4,"dataset",0.00291120815138282
"8","InhouseData",556,0.4,"dataset",0.982332155477032
"9","InhouseData",41,0.4,"dataset",0.0876068376068376
"10","InhouseData",161,0.4,"dataset",0.389830508474576
"11","InhouseData",47,0.4,"dataset",0.197478991596639
"12","InhouseData",37,0.4,"dataset",0.183168316831683
"0","PRJNA662018",1291,0.4,"dataset",0.273865082732287
"1","PRJNA662018",156,0.4,"dataset",0.0370018975332068
"2","PRJNA662018",1611,0.4,"dataset",0.657551020408163
"3","PRJNA662018",1332,0.4,"dataset",0.704761904761905
"4","PRJNA662018",483,0.4,"dataset",0.351017441860465
"5","PRJNA662018",427,0.4,"dataset",0.368103448275862
"6","PRJNA662018",457,0.4,"dataset",0.400877192982456
"7","PRJNA662018",202,0.4,"dataset",0.294032023289665
"8","PRJNA662018",0,0.4,"dataset",0
"9","PRJNA662018",272,0.4,"dataset",0.581196581196581
"10","PRJNA662018",131,0.4,"dataset",0.317191283292978
"11","PRJNA662018",125,0.4,"dataset",0.525210084033613
"12","PRJNA662018",127,0.4,"dataset",0.628712871287129
"0","CNP0000460_P01N",48,0.4,"orig.ident",0.010182435299109
