"object","resolution","object_clusters","marker_clusters","full_rows","top100_raw_rows","top100_friendly_rows","top100_noncycle_rows"
"Fibroblast",0.4,13,13,32216,1300,1300,1300
"Fibroblast",0.8,18,18,41552,1800,1800,1800
"Fibroblast",1.2,21,21,47219,2100,2100,2100
