"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",0.458851113716295,0,0.000597014925373134,0.00258064516129032,0.0345699831365936,0.00516351118760757,0.00116686114352392,0.029874213836478,0,0,0.0873362445414847,0,0,0,0,0
"1",0.137397420867526,0.000988630746416213,0.000597014925373134,0.0032258064516129,0.117200674536256,0.897590361445783,0,0.0220125786163522,0,0,0.0393013100436681,0,0.005,0.00675675675675676,0,0.0879120879120879
"2",0,0.589718240237271,0.00597014925373134,0.19741935483871,0.109612141652614,0.0163511187607573,0.00350058343057176,0.029874213836478,0,0.0465116279069767,0.00873362445414847,0.192660550458716,0,0.114864864864865,0,0.505494505494505
"3",0.354747948417351,0.000988630746416213,0.000597014925373134,0,0.0075885328836425,0.0714285714285714,0,0.155660377358491,0,0,0.327510917030568,0,0,0,0,0.0549450549450549
"4",0,0.00939199209095403,0.675820895522388,0.00903225806451613,0,0,0.00233372228704784,0,0,0.062015503875969,0,0.0458715596330275,0.005,0,0.00806451612903226,0
"5",0.000703399765533411,0.0410281759762729,0.00358208955223881,0.554193548387097,0.0286677908937605,0,0.00233372228704784,0.00943396226415094,0,0.00258397932816537,0.00436681222707424,0.00917431192660551,0,0.364864864864865,0.0725806451612903,0.021978021978022
"6",0.0143024618991794,0.00939199209095403,0.0017910447761194,0.0264516129032258,0.632377740303541,0.00516351118760757,0.00466744457409568,0.00314465408805031,0,0.00258397932816537,0.0786026200873362,0.197247706422018,0,0.256756756756757,0.0161290322580645,0.010989010989011
"8",0,0.314878892733564,0.00955223880597015,0.00516129032258065,0.00590219224283305,0,0,0,0,0.103359173126615,0,0.036697247706422,0,0.00675675675675676,0,0.0769230769230769
"9",0,0.0222441917943648,0.00238805970149254,0.00129032258064516,0.0261382799325464,0,0.332555425904317,0,0,0.762273901808786,0,0,0,0.00675675675675676,0.0564516129032258,0
"10",0.0107854630715123,0.00197726149283243,0.0017910447761194,0.192903225806452,0.0168634064080944,0.00172117039586919,0,0.372641509433962,0,0,0.0262008733624454,0,0,0.114864864864865,0.0161290322580645,0.241758241758242
"12",0,0,0,0,0,0,0.630105017502917,0,0,0.0103359173126615,0,0,0,0,0.0725806451612903,0
"13",0,0,0.293134328358209,0,0,0,0,0.00628930817610063,0,0,0,0,0,0,0,0
"14",0,0,0.00119402985074627,0.000645161290322581,0,0,0,0,1,0,0.00436681222707424,0,0,0,0,0
"15",0.0131301289566237,0.000494315373208107,0.00119402985074627,0.00258064516129032,0,0,0,0.342767295597484,0,0,0.00436681222707424,0,0,0.00675675675675676,0,0
"16",0.000234466588511137,0.00494315373208107,0,0.00193548387096774,0.000843170320404722,0.000860585197934596,0.00116686114352392,0,0,0,0,0,0.99,0,0,0
"17",0.00984759671746776,0,0,0,0.0185497470489039,0.00172117039586919,0,0.0283018867924528,0,0,0.419213973799127,0,0,0.121621621621622,0,0
"19",0,0.000494315373208107,0.00119402985074627,0.00193548387096774,0.00168634064080944,0,0.0221703617269545,0,0,0.0103359173126615,0,0,0,0,0.758064516129032,0
"21",0,0.00346020761245675,0.000597014925373134,0.000645161290322581,0,0,0,0,0,0,0,0.518348623853211,0,0,0,0
