"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",1957,0,1,4,41,6,1,19,0,0,20,0,0,0,0,0
"1",586,2,1,5,139,1043,0,14,0,0,9,0,1,1,0,8
"2",0,1193,10,306,130,19,3,19,0,18,2,42,0,17,0,46
"3",1513,2,1,0,9,83,0,99,0,0,75,0,0,0,0,5
"4",0,19,1132,14,0,0,2,0,0,24,0,10,1,0,1,0
"5",3,83,6,859,34,0,2,6,0,1,1,2,0,54,9,2
"6",61,19,3,41,750,6,4,2,0,1,18,43,0,38,2,1
"8",0,637,16,8,7,0,0,0,0,40,0,8,0,1,0,7
"9",0,45,4,2,31,0,285,0,0,295,0,0,0,1,7,0
"10",46,4,3,299,20,2,0,237,0,0,6,0,0,17,2,22
"12",0,0,0,0,0,0,540,0,0,4,0,0,0,0,9,0
"13",0,0,491,0,0,0,0,4,0,0,0,0,0,0,0,0
"14",0,0,2,1,0,0,0,0,445,0,1,0,0,0,0,0
"15",56,1,2,4,0,0,0,218,0,0,1,0,0,1,0,0
"16",1,10,0,3,1,1,1,0,0,0,0,0,198,0,0,0
"17",42,0,0,0,22,2,0,18,0,0,96,0,0,18,0,0
"19",0,1,2,3,2,0,19,0,0,4,0,0,0,0,94,0
"21",0,7,1,1,0,0,0,0,0,0,0,113,0,0,0,0
