"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"0",0,0.68384997431067,0,0.00051378660729577,0,0.229320089056345,0.00376776845350231,0.000856311012159616,0.0294570988182908,0.0118170919678027,0.00239767083404693,0,0.0260318547696523,0.00171262202431923,0.00051378660729577,0.00462407946566193,0,0.00428155506079808,0.000171262202431923,0,0.000685048809727693
"1",0.821696611325904,0.00136456675005686,0.0202410734591767,0.000227427791676143,0,0.000909711166704571,0.0134182397088924,0.00136456675005686,0.00523083920855128,0.041391858085058,0.0664089151694337,0.000227427791676143,0.000454855583352286,0,0.00295656129178986,0.0231976347509666,0,0,0,0.000682283375028428,0.000227427791676143
"2",0.154850746268657,0.000233208955223881,0.76142723880597,0,0.0746268656716418,0.000233208955223881,0.00163246268656716,0.00466417910447761,0,0,0.000466417910447761,0,0,0,0.000699626865671642,0.000932835820895522,0,0,0,0.000233208955223881,0
"3",0.0118675827607745,0.00530918176139913,0,0.911930043722673,0.000312304809494066,0,0.019050593379138,0.00156152404747033,0.000312304809494066,0.028107432854466,0.000936914428482199,0.00374765771392879,0.00562148657089319,0.00218613366645846,0.000312304809494066,0.000312304809494066,0,0.00374765771392879,0.0028107432854466,0,0.0018738288569644
"4",0.031417941298057,0.00578751550227367,0.0186027284001654,0.0111616370400992,0.00413393964448119,0,0.0190161223646135,0.181066556428276,0.00165357585779248,0.00165357585779248,0.301364200082679,0,0.114923522116577,0,0.300537412153783,0.00496072757337743,0,0.000826787928896238,0.000413393964448119,0.000413393964448119,0.0020669698222406
"6",0.153100775193798,0.000968992248062015,0.339147286821705,0.0285852713178295,0.0968992248062016,0.0116279069767442,0.00484496124031008,0.294089147286822,0.000968992248062015,0,0.0460271317829457,0.00145348837209302,0.000484496124031008,0.000968992248062015,0.0140503875968992,0.00484496124031008,0,0,0,0.00145348837209302,0.000484496124031008
"7",0.0054294175715696,0.140671273445212,0,0.0518262586377098,0,0.00246791707798618,0.0750246791707799,0,0.0602171767028628,0.432379072063179,0.0113524185587364,0.000493583415597236,0.212240868706811,0.00148075024679171,0,0.00345508390918065,0,0.00246791707798618,0,0.000493583415597236,0
"8",0.00961025093432995,0.0154831820608649,0,0.00373731980779498,0.000533902829684997,0.0395088093966898,0.0453817405232248,0.00480512546716498,0.544046983449012,0.0208222103577149,0.00160170848905499,0,0.00320341697810998,0.000533902829684997,0.00160170848905499,0.305392418579818,0,0.00266951414842499,0,0.000533902829684997,0.000533902829684997
"9",0.00114744693057946,0,0.044750430292599,0,0.938611589213999,0.00057372346528973,0.00401606425702811,0.00975329890992542,0,0,0,0,0,0,0.00057372346528973,0.00057372346528973,0,0,0,0,0
"10",0,0.00203252032520325,0.000677506775067751,0,0.00813008130081301,0,0.985094850948509,0,0.0013550135501355,0,0,0,0,0,0,0,0,0,0,0,0.002710027100271
"12",0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0.992039800995025,0,0,0,0,0.00099502487562189,0.00298507462686567,0.00099502487562189,0,0
"13",0.00402414486921529,0.196177062374245,0,0.00905432595573441,0,0.0583501006036217,0.105633802816901,0.017102615694165,0.0110663983903421,0.0120724346076459,0.0130784708249497,0.00100603621730382,0.0553319919517103,0.00100603621730382,0,0.00201207243460765,0,0.388329979879276,0,0.0814889336016097,0.0442655935613682
"14",0,0.0234466588511137,0,0.00351699882766706,0,0.018757327080891,0.00117233294255569,0.00351699882766706,0.00117233294255569,0.00117233294255569,0,0,0.0105509964830012,0.930832356389215,0,0.00117233294255569,0.00117233294255569,0.00351699882766706,0,0,0
"15",0.00238095238095238,0.0107142857142857,0,0.00238095238095238,0.00238095238095238,0.884523809523809,0,0.0595238095238095,0.0202380952380952,0.00238095238095238,0.00357142857142857,0,0,0.00119047619047619,0,0.00476190476190476,0,0.00476190476190476,0,0.00119047619047619,0
"16",0,0,0,0.00933333333333333,0,0,0,0,0,0,0,0.00133333333333333,0.00133333333333333,0.00133333333333333,0.00133333333333333,0,0.985333333333333,0,0,0,0
"17",0.0109204368174727,0.0202808112324493,0.0031201248049922,0.0062402496099844,0.0031201248049922,0.0109204368174727,0.174726989079563,0.488299531981279,0.0031201248049922,0,0.0187207488299532,0,0.0031201248049922,0,0.0015600624024961,0.0031201248049922,0,0.0140405616224649,0,0.0078003120124805,0.230889235569423
"18",0.032258064516129,0,0.0681003584229391,0,0.512544802867383,0,0.010752688172043,0.0340501792114695,0.0017921146953405,0,0.0268817204301075,0,0,0,0.0017921146953405,0,0,0,0,0.306451612903226,0.00537634408602151
"20",0.00222222222222222,0,0,0.00222222222222222,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993333333333333,0,0
"21",0.797814207650273,0.0136612021857923,0,0.040983606557377,0,0,0,0.00546448087431694,0.00546448087431694,0.0327868852459016,0.0437158469945355,0,0.0273224043715847,0,0.0218579234972678,0.00819672131147541,0,0,0,0,0.00273224043715847
"22",0.00666666666666667,0.593333333333333,0,0.0166666666666667,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.04,0.186666666666667,0.0166666666666667,0.00666666666666667,0,0.03,0,0.00333333333333333,0,0,0.0166666666666667,0,0,0.0666666666666667
