"cluster_v2_round1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"0",0.223009814612868,0,0,0.670392584514722,0,0,0.0967829880043621,0.000272628135223555,0,0.00136314067611778,0.000817884405670665,0.00599781897491821,0.00136314067611778,0,0,0,0,0,0,0
"1",0.895377128953771,0.000347584289190129,0,0.0392770246784845,0,0.010775112964894,0.0166840458811262,0.00938477580813347,0,0.00521376433785193,0.00417101147028154,0.0152937087243657,0.00278067431352103,0,0,0,0.000695168578380257,0,0,0
"2",0,0.887375782112624,0,0.000736105999263894,0.000368052999631947,0.0235553919764446,0,0.00184026499815974,0.000368052999631947,0.0165623849834376,0.0103054839896945,0.00478468899521531,0.020979020979021,0.00184026499815974,0.000736105999263894,0,0.0268678689731321,0,0.00220831799779168,0.00147221199852779
"3",0,0,0.0363023952095808,0,0.900449101796407,0.000374251497005988,0,0,0.00336826347305389,0.000374251497005988,0.000374251497005988,0,0,0.0138473053892216,0.0407934131736527,0,0,0.000374251497005988,0.00374251497005988,0
"4",0.344166666666667,0.00625,0,0,0,0.555416666666667,0.0370833333333333,0.0025,0,0.00416666666666667,0.00208333333333333,0.0441666666666667,0.00291666666666667,0,0,0,0.000833333333333333,0,0.000416666666666667,0
"5",0,0.00141110065851364,0.958137347130762,0,0.00470366886171214,0,0,0.00282220131702728,0.00893697083725306,0,0,0,0.00141110065851364,0.000940733772342427,0.000940733772342427,0.00282220131702728,0,0.0178739416745061,0,0
"6",0.000536193029490617,0.000536193029490617,0.311528150134048,0,0.00375335120643432,0,0,0,0.445576407506702,0.00107238605898123,0,0,0.00160857908847185,0.0112600536193029,0.0380697050938338,0.185522788203753,0,0,0.000536193029490617,0
"7",0.0277280858676208,0.00447227191413238,0.0402504472271914,0.054561717352415,0.00268336314847943,0.00268336314847943,0.0214669051878354,0,0.0143112701252236,0.498211091234347,0.00268336314847943,0.000894454382826476,0.0196779964221825,0.294275491949911,0.00626118067978533,0.00626118067978533,0.00178890876565295,0.000894454382826476,0.000894454382826476,0
"8",0.392787524366472,0.00974658869395711,0,0.00292397660818713,0,0.0516569200779727,0.0302144249512671,0.0243664717348928,0,0.01364522417154,0.0116959064327485,0.391812865497076,0,0.000974658869395711,0.000974658869395711,0,0.0614035087719298,0,0.00584795321637427,0.00194931773879142
"9",0.00100300902708124,0.0220661985957874,0.00401203610832497,0,0,0.00100300902708124,0.00100300902708124,0.877632898696088,0.00100300902708124,0,0.0150451354062187,0.00300902708124373,0.0631895687061184,0,0,0.00100300902708124,0.00401203610832497,0.00100300902708124,0.00401203610832497,0.00100300902708124
"13",0.050071530758226,0,0,0.00286123032904149,0,0.00286123032904149,0.929899856938484,0,0.00143061516452074,0.00429184549356223,0.00572246065808298,0.00286123032904149,0,0,0,0,0,0,0,0
"14",0,0.0495689655172414,0,0.0021551724137931,0,0.00646551724137931,0.0301724137931034,0.0344827586206897,0,0.0172413793103448,0.584051724137931,0,0.269396551724138,0,0,0,0.00431034482758621,0,0,0.0021551724137931
"15",0,0.0874704491725768,0.00945626477541371,0.00236406619385343,0.00236406619385343,0.00236406619385343,0,0.0780141843971631,0.00472813238770686,0.224586288416076,0.00709219858156028,0,0.550827423167849,0.00945626477541371,0,0,0.00945626477541371,0,0.0118203309692671,0
"16",0.00515463917525773,0.502577319587629,0,0,0,0.00257731958762887,0,0.0644329896907216,0,0.0077319587628866,0.0335051546391753,0.00515463917525773,0,0,0,0.00515463917525773,0.20360824742268,0,0.00515463917525773,0.164948453608247
"17",0,0.0773993808049536,0,0,0,0,0,0.0959752321981424,0,0,0.705882352941177,0.00309597523219814,0,0,0.00619195046439629,0.0123839009287926,0.021671826625387,0,0,0.0773993808049536
"18",0,0,0,0,0.0099009900990099,0,0,0,0,0,0.0033003300330033,0,0,0.0132013201320132,0.603960396039604,0.0297029702970297,0,0,0.33993399339934,0
"20",0,0.0173913043478261,0.00869565217391304,0,0,0,0,0.0130434782608696,0,0.0130434782608696,0.00434782608695652,0,0.0652173913043478,0.0173913043478261,0,0,0,0.860869565217391,0,0
"22",0,0.823529411764706,0,0,0,0,0,0.0915032679738562,0,0,0,0,0.0522875816993464,0,0,0,0.0196078431372549,0,0.0130718954248366,0
